ID,Name,Glottocode,ChineseName,Latitude,Longitude,DialectGroup
Beijing,Beijing,beij1234,北京,39.9385466,116.1172766,Mandarin
Changsha,Changsha,chan1326,长沙,28.85032,112.943344,Xiang
Chaozhou,Chaozhou,chao1238,潮州,23.666667,116.633333,Min
Chengdu,Chengdu,chen1267,成都,30.605768,103.970947,Mandarin
Fuzhou,Fuzhou,fuzh1239,福州,26.08904,119.294243,Min
Guangzhou,Guangzhou,guan1279,广州,23.1253503,112.9476548,Yue
Hankou,Hankou,hank1234,汉口,30.581179,114.272597,Mandarin
Jinan,Jinan,jina1245,济南,36.690777,116.997299,Mandarin
Meixian,Meixian,yuet1238,梅县,24.3522958,115.8903375,Hakka
Nanchang,Nanchang,nanc1254,南昌,28.706609,115.857468,Gan
Shanghai,Shanghai,shan1293,上海,31.222902,121.475372,Wu
Shuangfeng,Shuangfeng,shua1258,双峰,27.4569781,111.916486,Xiang
Suzhou,Suzhou,suzh1234,苏州,31.3280439,120.364116,Wu
Taiyuan,Taiyuan,taiy1243,太原,37.8632119,112.4024883,Jin
Wenzhou,Wenzhou,ouji1238,温州,28.005496,120.701179,Wu
XiAn,Xi_an,xian1253,西安,34.228154,108.960571,Mandarin
Xiamen,Xiamen,xiam1236,厦门,24.49421,118.08918,Min
Yangzhou,Yangzhou,yang1306,揚州,32.4171449,119.209227,Mandarin
ZhongyuanYinyun,Zhongyuan_Yinyun,,中原音韻,39.9385466,116.1172766,Mandarin
