NUMBER	CHINESE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
217	挑	carry with pole on shoulder	3438	CARRY (WITH POLE ON SHOULDER)
218	捉	catch	702	CATCH
219	洞	cave/ hole	1667	HOLE
220	糠	chaff/ bran	2363	CHAFF (HUSK)
221	椅	chair	1476	CHAIR
222	化	change (become different)	2857	CHANGE (BECOME DIFFERENT)
223	改	change (something)	2856	CHANGE (SOMETHING)
224	胸	chest	1592	CHEST
225	脯	chest	1592	CHEST
226	孩	child	2099	CHILD
227	劈	chop (firewood)	1437	SPLIT
228	筷	chopsticks	1987	CHOPSTICKS
229	只	classifier for birds	2081	CHICKEN (CLASSIFIER)
230	件	classifier for clothing	2088	CLOTHING (CLASSIFIER)
231	位	classifier for person	516	PERSON (CLASSIFIER)
232	首	classifier for songs	3422	SONG (CLASSIFIER)
233	棍	classifier for sticks	2085	STICK (CLASSIFIER)
234	棵	classifier for trees	2721	TREE (CLASSIFIER)
235	清	clear (water)	1147	PURE
236	衣	clothing (garment)	1895	CLOTHES
237	材	coffin	2011	COFFIN
238	冷	cold	1287	COLD
239	柱	column	2045	COLUMN
240	梳	comb	1475	COMB
241	冠	comb of cock	188	COMB OF BIRD
242	粥	congee (gruel, porridge)	2049	CONGEE
243	接	connect (join)	2862	CONNECT
244	煮	cook (boil)	1100	COOK (SOMETHING)
245	熟	cooked	269	COOKED
246	棉	cotton	1850	COTTON
247	絮	cotton wool	3442	COTTON WOOL
248	圈	cowshed	3025	BARN OR SHED
249	蟹	crab	2348	CRAB
250	爬	crawl	96	CRAWL
251	哭	cry	1839	CRY
252	敢	dare	1779	DARE
253	暗	dark	706	DARK
254	深	deep	1593	DEEP
255	露	dew	1977	DEW
256	死	die	1494	DIE
257	挖	dig	1418	DIG
258	勤	diligent	2077	DILIGENT
259	融	dissolve	2334	MELT
260	做	do (something)	813	DO
261	漏	drip (emit liquid)	2253	DRIP (EMIT LIQUID)
262	掉	drop (something)	750	DROP
263	鼓	drum	908	DRUM
264	醉	drunk	1463	DRUNK
265	枯	dry	1398	DRY
266	晒	dry in the sun	3364	DRY IN SUN
267	朵	ear	1247	EAR
268	耳	ear	1247	EAR
269	早	early	672	EARLY
270	容	easy	686	EASY
271	易	easy	686	EASY
272	蛋	egg	744	EGG
273	姐	elder sister	1758	OLDER SISTER
274	屋	enter (a house)		
275	落	fall	1280	FALL
276	倒	fall over/ down	2894	TUMBLE (FALL DOWN)
277	跌	fall over/ down	2894	TUMBLE (FALL DOWN)
278	假	false	3069	FALSE
279	扇	fan (can be held by single hand)	1971	FAN (OBJECT)
280	胖	fat	1279	FAT (OBESE)
281	怕	fear (be afraid)	1419	FEAR (BE AFRAID)
282	旱	field	212	FIELD
283	凶	fierce	
284	填	fill up (a hollow)	2006	FILL
285	指	finger	1303	FINGER
286	柴	firewood	10	FIREWOOD
287	拳	fist	1473	FIST
288	旗	flag	2623	FLAG
289	浮	float	1574	FLOAT
290	面	flour	1594	FLOUR
291	流	flow	2003	FLOW
292	花	flower	239	FLOWER
293	折	fold	1470	FOLD
294	午	forenoon	2775	FORENOON
295	忘	forget	1523	FORGET
296	狐	fox	1312	FOX
297	狸	fox	1312	FOX
298	青	frog	503	FROG
299	前	front	2194	FRONT (PART)
300	霜	frost	2034	FROST
301	果	fruit	1507	FRUIT
302	炸	fry (something)	991	FRY
303	蒜	garlic	2368	GARLIC
304	收	gather (harvest)	7	GATHER
305	的	genitive marker		
306	得	get (acquire)	694	GET
307	鬼	ghost/ spirit	1175	GHOST
308	姜	ginger	2500	GINGER
309	姑	girl	1646	GIRL
310	糯	glutinous rice	2750	GLUTINOUS RICE
311	出	go out	1107	GO OUT
312	物	goods (merchandise)	3406	MERCHANDISE
313	葫	gourd	411	GOURD
314	瓢	gourd ladle (wooden dipper)	2657	LADLE
315	粟	grain	605	GRAIN
316	葡	grape	920	GRAPE
317	草	grass	606	GRASS
318	墓	grave	1773	GRAVE
319	磨	grind (flour)	1033	GRIND
320	猜	guess (a riddle)	1932	GUESS
321	客	guest	1782	GUEST
322	族	Han Chinese	3373	HAN CHINESE
323	手	hand	1277	HAND
324	硬	hard	1884	HARD
325	帽	hat	771	HAT
326	巾	head covering		
327	心	heart	1223	HEART
328	重	heavy	1210	HEAVY
329	助	help	1897	HELP
330	藏	hide (something)	2486	HIDE
331	高	high (tall)	1265	HIGH
332	打	hit (a person)	1433	HIT
333	拿	hold or take	2104	HOLD OR TAKE
334	蜜	honey		
335	蹄	hoof	152	HOOF
336	角	horn (of cow)	1393	HORN (ANATOMY)
337	房	house	1252	HOUSE
338	抱	hug (embrace)	928	EMBRACE
339	丈	husband	1200	HUSBAND
340	我	I	1209	I
341	香	incense	3356	INCENSE
342	吸	inhale	2705	INHALE
343	里	inside	1606	INSIDE
344	痒	itch	149	ITCHY
345	斤	jin (=0.5 kg.)	2647	CATTY (MASS UNIT)
346	跳	jump	1829	JUMP
347	匙	key	1472	KEY
348	敲	knock	2396	KNOCK
349	缺	lack (not have)	2329	LACK (NOT HAVE)
350	梯	ladder	1464	LADDER
351	油	lard (pig fat)	2557	PIG FAT
352	腿	leg	1297	LEG
353	裹	legging		
354	提	lift (with hand)	501	LIFT
355	光	light	630	LIGHT (RADIATION)
356	淡	light (in taste)	2181	LIGHT (IN TASTE)
357	甜	liquor (sweet)	842	LIQUOR
358	住	live (reside)	363	DWELL (LIVE, RESIDE)
359	肝	liver	1224	LIVER
360	找	look for	1468	LOOK FOR
361	低	low (short)	721	LOW
362	肺	lung	688	LUNG
363	蛆	maggot	2640	LARVA
364	谷	maize/ corn	506	MAIZE
365	夫	male person	1200	HUSBAND
366	多	many	1198	MANY
367	市	market	633	MARKET
368	席	mat	195	MAT
369	舅	maternal uncle (mother's brother)	2692	MATERNAL UNCLE (MOTHER'S BROTHER)
370	肉	meat	634	MEAT
371	夜	night	1233	NIGHT
372	奶	milk	635	MILK
373	猴	monkey	1350	MONKEY
374	晨	morning	1339	MORNING
375	鼠	mouse	2139	MUROID (MOUSE OR RAT)
376	嘴	mouth	674	MOUTH
377	移	move (oneself)	2874	MOVE (ONESELF)
378	搬	move (something)	765	MOVE
379	甲	nail	1258	FINGERNAIL
380	窄	narrow	1267	NARROW
381	涕	nasal mucus	208	NASAL MUCUS (SNOT)
382	近	near	1942	NEAR
383	新	new	1231	NEW
384	九	nine	1483	NINE
385	鼻	nose	1221	NOSE
386	老	old man	406	OLD MAN
387	自	oneself	1993	SELF
388	橘	orange	2627	ORANGE (FRUIT)
389	孤	orphan	1149	ORPHAN
390	外	outside	762	OUTSIDE
391	欠	owe (money)	369	OWE
392	划	paddle	234	PADDLE
393	稻	paddy rice	3390	WILD RICE
394	疼	painful	1129	PAINFUL
395	桃	peach	2043	PEACH
396	梨	pear	922	PEAR
397	柿	persimmon	2044	PERSIMMON
398	舂	pestle	225	PESTLE
399	枕	pillow	1044	PILLOW
400	松	pine	1740	PINE
401	刨	plane	3408	PLANE (TOOL)
402	栽	plant (trees)	1486	PLANT (SOMETHING)
403	犁	plough	2154	PLOUGH (INSTRUMENT)
404	耕	plough (something)	1921	PLOUGH
405	李	plum	2356	CHINESE PLUM
406	袋	pocket	1851	POCKET
407	插	poke (something)		
408	池	pond	2035	POND
409	答	promise	1675	PROMISE
410	拖	pull	1455	PULL
411	追	pursue	1047	PURSUE
412	推	push	1452	PUSH
413	快	quick/ fast	1631	FAST
414	被	quilt	2048	QUILT
415	兔	rabbit	2345	LEPORID (RABBIT OR HARE)
416	雨	rain	658	RAIN (PRECIPITATION)
417	虹	rainbow	1733	RAINBOW
418	留	remain	987	REMAIN
419	救	rescue (save)	2008	RESCUE
420	退	retreat	421	RETREAT
421	米	rice	926	RICE
422	富	rich	712	RICH
423	右	right	1019	RIGHT
424	河	river	666	RIVER
425	路	road	667	ROAD
426	根	root	670	ROOT
427	尺	ruler	3405	RULER
428	跑	run	1519	RUN
429	逃	run away	2142	RUN AWAY
430	鞍	saddle	3065	SADDLE
431	沙	sand	671	SAND
432	秤	scales	2783	SCALES (MEASURE INSTRUMENT)
433	剪	scissors	356	SHEARS
434	抓	scratch	1436	SCRATCH
435	句	sentence (of speech)	3421	SENTENCE (CLASSIFIER)
436	分	separate	1359	SEPARATE
437	芝	sesame	2797	SESAME
438	影	shadow	1388	SHADE
439	利	sharp	1396	SHARP
440	羊	sheep (general)	2684	CAPRINE (GOAT OR SHEEP)
441	架	shelf	745	SHELF
442	鞋	shoe	1381	SHOE
443	射	shoot (an arrow)	1172	SHOOT
444	肩	shoulder	1482	SHOULDER
445	病	sick	1847	SICK
446	旁	side	682	SIDE
447	唱	sing	1261	SING
448	沉	sink	1088	SINK (DESCEND)
449	嫂	sister-in-law (older brother's wife)	2695	SISTER-IN-LAW (OLDER BROTHER'S WIFE)
450	裙	skirt	1600	SKIRT
451	睡	sleep	1585	SLEEP
452	袖	sleeve	2953	SLEEVE
453	慢	slow	701	SLOW
454	蛇	snake	730	SNAKE
455	雪	snow	784	SNOW
456	婿	son-in-law	1056	SON-IN-LAW
457	歌	song	1096	SONG
458	酸	sour	1906	SOUR
459	辣	spicy	544	SPICY
460	蛛	spider	843	SPIDER
461	蜘	spider	843	SPIDER
462	痰	spit	1440	SPIT
463	勺	spoon	1378	SPOON
464	芽	sprout (shoot)	3358	SPROUT (SHOOT)
465	起	stand up	570	STAND UP
466	星	star	1430	STAR
467	偷	steal	713	STEAL
468	蒸	steam	2068	BRAISE (VERB)
469	台	step	1158	STEP
470	臭	stinky (smell)	42	STINKING
471	炒	stir-fry	2162	STIR FRY
472	胃	stomach	819	STOMACH
473	凳	stool (bench)	2058	STOOL
474	灶	stove	859	STOVE
475	蓑	straw or palm-bark rain cape	1662	CAPE
476	拍	strike (beat)	2133	STRIKE OR BEAT
477	傻	stupid	1518	STUPID
478	糖	sugar	862	SUGAR
479	太	sun	1343	SUN
480	燕	swallow	3077	SWALLOW (BIRD)
481	汗	sweat	2458	PERSPIRE OR SWEAT
482	游	swim	1439	SWIM
483	尾	tail	1220	TAIL
484	茶	tea	1373	TEA
485	筋	tendon	1137	TENDON
486	有	there is or there are	2152	THERE IS OR THERE ARE
487	薄	thin	2306	THIN (OF LEAF AND CLOTH)
488	稀	thin (hair)	2305	THIN (OF HAIR AND THREAD)
489	想	think	2271	THINK
490	刺	thorn/ splinter	124	THORN
491	喉	throat	1346	THROAT
492	雷	thunder	1150	THUNDER
493	虎	tiger	846	TIGER
494	今	today	1283	TODAY
495	腐	tofu	3443	TOFU
496	舌	tongue	1205	TONGUE
497	摸	touch (stroke)	1892	TOUCH
498	梢	tree top	3036	TREETOP
499	翻	turn over (on bed)	1445	TURN (SOMETHING)
500	搓	twist (hemp fibers)	430	TWIST
501	解	untie	352	UNTIE
502	尿	urine	1142	URINE
503	菜	vegetable	924	VEGETABLES
504	很	very	1311	VERY
505	吐	vomit	1278	VOMIT
506	腰	waist	1681	WAIST
507	等	wait	1590	WAIT (FOR)
508	走	walk	1443	WALK
509	要	want (need)	1784	WANT
510	水	water	948	WATER
511	戴	wear (a hat)	3428	WEAR (ON HEAD)
512	鞭	whip	2630	WHIP
513	妻	wife	1199	WIFE
514	窗	window	1375	WINDOW
515	翅	wing	1257	WING
516	簸	winnowing fan	2051	DUSTPAN
517	弟	younger brother	1760	YOUNGER BROTHER
518	妹	younger sister	1761	YOUNGER SISTER
519	苗			
520	麻			
521	筐			
522	斗			
523	公			
524	扁			
525	比			
526	行			
527	熬			
528	拉			
529	拱			
530	躲			
531	避			
532	家			
533	每			
534	肥			
535	粉			
536	玉			
537	祖			
538	革			
539	椒			
540	照			
541	茅			
542	急			
543	正			
544	道			
545	瘦			
546	包			
547	集			
548	汁			
549	割			
550	巴			
551	字			
552	己			
553	削			
554	堵			
555	塞			
556	塘			
557	守			
558	稼			
559	拔			
560	扶			
561	放			
562	念			
563	送			
564	泡			
565	事			
566	故			
567	嫩			
568	疏			
569	拴			
570	稠			
571	所			
572	筒			
573	斑			
574	极			
575	缸			
576	么			
577	野			
578	杯			
579	元			
580	丁			
581	且			
582	世			
583	丘			
584	丙			
585	丞			
586	丟			
587	並			
588	串			
589	丸			
590	丹			
591	主			
592	乃			
593	久			
594	之			
595	尹			
596	乍			
597	乏			
598	乖			
599	乘			
600	乙			
601	乾			
602	亂			
603	了			
604	于			
605	互			
606	些			
607	亞			
608	交			
609	亦			
610	享			
611	京			
612	亭			
613	仁			
614	仇			
615	介			
616	仍			
617	付			
618	仙			
619	代			
620	以			
621	仰			
622	仲			
623	任			
624	份			
625	仿			
626	伍			
627	伏			
628	休			
629	伙			
630	伯			
631	估			
632	伴			
633	伶			
634	伸			
635	似			
636	佃			
637	但			
638	佈			
639	佔			
640	何			
641	余			
642	佛			
643	作			
644	佩			
645	佳			
646	併			
647	使			
648	例			
649	供			
650	依			
651	侯			
652	侵			
653	便			
654	俄			
655	俊			
656	俗			
657	保			
658	修			
659	俯			
660	俸			
661	倉			
662	倍			
663	候			
664	倚			
665	倡			
666	倣			
667	倦			
668	倫			
669	值			
670	偉			
671	偏			
672	停			
673	健			
674	側			
675	偵			
676	偶			
677	偽			
678	傅			
679	傑			
680	傘			
681	備			
682	催			
683	傲			
684	傳			
685	債			
686	傷			
687	傾			
688	僅			
689	像			
690	僑			
691	僕			
692	僧			
693	僵			
694	價			
695	億			
696	儉			
697	儘			
698	償			
699	優			
700	儲			
701	允			
702	充			
703	兆			
704	兇			
705	先			
706	克			
707	兌			
708	免			
709	兜			
710	共			
711	具			
712	典			
713	兼			
714	冊			
715	再			
716	冒			
717	最			
718	冤			
719	冰			
720	凌			
721	凍			
722	凝			
723	凡			
724	函			
725	刁			
726	刃			
727	刊			
728	刑			
729	列			
730	判			
731	別			
732	制			
733	刻			
734	剃			
735	則			
736	剔			
737	剛			
738	剝			
739	剩			
740	創			
741	劇			
742	劉			
743	劍			
744	劑			
745	功			
746	加			
747	劣			
748	努			
749	勁			
750	勇			
751	勉			
752	勒			
753	動			
754	務			
755	勝			
756	勞			
757	勢			
758	勳			
759	勸			
760	勻			
761	勾			
762	勿			
763	匣			
764	匪			
765	匯			
766	匹			
767	匾			
768	區			
769	升			
770	卑			
771	卒			
772	協			
773	博			
774	卡			
775	卦			
776	卯			
777	印			
778	危			
779	即			
780	卷			
781	卸			
782	卻			
783	原			
784	厭			
785	厲			
786	參			
787	又			
788	叉			
789	及			
790	反			
791	叔			
792	受			
793	叢			
794	另			
795	叩			
796	史			
797	司			
798	各			
799	合			
800	吉			
801	同			
802	向			
803	君			
804	吝			
805	吞			
806	含			
807	吳			
808	吵			
809	呂			
810	呈			
811	味			
812	哀			
813	品			
814	哄			
815	員			
816	哲			
817	唐			
818	售			
819	商			
820	問			
821	啞			
822	啼			
823	善			
824	喊			
825	喘			
826	喚			
827	喜			
828	喪			
829	喬			
830	單			
831	喻			
832	嗇			
833	嗉			
834	嗓			
835	嘉			
836	嘔			
837	嘗			
838	噓			
839	噎			
840	噴			
841	器			
842	嚇			
843	嚥			
844	嚴			
845	嚷			
846	嚼			
847	囊			
848	囑			
849	囚			
850	因			
851	囪			
852	固			
853	國			
854	圍			
855	園			
856	圓			
857	圖			
858	團			
859	址			
860	均			
861	坍			
862	坎			
863	坑			
864	坡			
865	坤			
866	坦			
867	坪			
868	垂			
869	型			
870	垮			
871	城			
872	域			
873	埠			
874	執			
875	培			
876	基			
877	堂			
878	堅			
879	堆			
880	堡			
881	堤			
882	堪			
883	報			
884	場			
885	塊			
886	塌			
887	塑			
888	塔			
889	塗			
890	境			
891	增			
892	墩			
893	墳			
894	墾			
895	壁			
896	壓			
897	壞			
898	壟			
899	壩			
900	士			
901	壯			
902	壺			
903	壽			
904	夏			
905	夠			
906	夢			
907	央			
908	夷			
909	夾			
910	奇			
911	奉			
912	奏			
913	契			
914	奔			
915	套			
916	奪			
917	奮			
918	奴			
919	奸			
920	如			
921	妓			
922	妖			
923	妙			
924	妥			
925	妨			
926	姊			
927	始			
928	姓			
929	委			
930	姚			
931	姦			
932	姨			
933	姪			
934	姻			
935	姿			
936	威			
937	娛			
938	婚			
939	婦			
940	媒			
941	媽			
942	媾			
943	嫁			
944	嫌			
945	嫖			
946	嬌			
947	嬰			
948	嬸			
949	孔			
950	存			
951	孝			
952	季			
953	孫			
954	學			
955	它			
956	宅			
957	安			
958	宋			
959	完			
960	宏			
961	宗			
962	官			
963	定			
964	宜			
965	宣			
966	室			
967	宦			
968	宮			
969	宰			
970	宴			
971	宵			
972	宿			
973	寄			
974	寅			
975	密			
976	寇			
977	寒			
978	寓			
979	察			
980	寡			
981	寢			
982	實			
983	寧			
984	審			
985	寫			
986	寬			
987	寵			
988	寶			
989	寸			
990	寺			
991	封			
992	將			
993	專			
994	尊			
995	尋			
996	對			
997	導			
998	尚			
999	尤			
1000	就			
1001	尼			
1002	局			
1003	居			
1004	屈			
1005	屍			
1006	屏			
1007	展			
1008	屠			
1009	層			
1010	屬			
1011	屯			
1012	岔			
1013	岡			
1014	岳			
1015	岸			
1016	峰			
1017	島			
1018	崇			
1019	崑			
1020	崔			
1021	崙			
1022	崩			
1023	嶺			
1024	巖			
1025	川			
1026	州			
1027	巢			
1028	工			
1029	巧			
1030	巨			
1031	差			
1032	巷			
1033	帆			
1034	希			
1035	帖			
1036	帘			
1037	帝			
1038	帥			
1039	師			
1040	帳			
1041	帶			
1042	常			
1043	幔			
1044	幕			
1045	幣			
1046	幫			
1047	幸			
1048	幹			
1049	幼			
1050	幽			
1051	幾			
1052	序			
1053	底			
1054	店			
1055	庚			
1056	府			
1057	度			
1058	座			
1059	庫			
1060	庭			
1061	康			
1062	廁			
1063	廂			
1064	廊			
1065	廉			
1066	廚			
1067	廟			
1068	廠			
1069	廢			
1070	廣			
1071	廳			
1072	延			
1073	廷			
1074	建			
1075	弄			
1076	弊			
1077	式			
1078	弔			
1079	引			
1080	弘			
1081	弱			
1082	張			
1083	強			
1084	彀			
1085	彈			
1086	彎			
1087	形			
1088	彩			
1089	彭			
1090	彷			
1091	役			
1092	彼			
1093	往			
1094	征			
1095	待			
1096	律			
1097	後			
1098	徐			
1099	徒			
1100	從			
1101	復			
1102	循			
1103	微			
1104	德			
1105	徹			
1106	徽			
1107	必			
1108	忌			
1109	忍			
1110	志			
1111	忠			
1112	忽			
1113	忿			
1114	怒			
1115	思			
1116	怠			
1117	性			
1118	怨			
1119	怪			
1120	怯			
1121	恃			
1122	恆			
1123	恐			
1124	恙			
1125	恤			
1126	恥			
1127	恨			
1128	恩			
1129	恭			
1130	息			
1131	恰			
1132	悅			
1133	悔			
1134	悟			
1135	悠			
1136	患			
1137	悲			
1138	悶			
1139	情			
1140	惜			
1141	惟			
1142	惠			
1143	惡			
1144	惰			
1145	惱			
1146	惹			
1147	愁			
1148	愉			
1149	意			
1150	愚			
1151	愛			
1152	感			
1153	慨			
1154	愧			
1155	慈			
1156	態			
1157	慌			
1158	慎			
1159	慕			
1160	慘			
1161	慣			
1162	慧			
1163	慮			
1164	慶			
1165	慷			
1166	憂			
1167	憐			
1168	憑			
1169	憤			
1170	憲			
1171	懂			
1172	懇			
1173	應			
1174	懶			
1175	懷			
1176	懸			
1177	戀			
1178	戎			
1179	戒			
1180	或			
1181	截			
1182	戰			
1183	戲			
1184	戳			
1185	戶			
1186	才			
1187	扎			
1188	扑			
1189	扔			
1190	托			
1191	扭			
1192	扮			
1193	扯			
1194	扳			
1195	批			
1196	承			
1197	技			
1198	抄			
1199	把			
1200	投			
1201	抖			
1202	抗			
1203	披			
1204	抵			
1205	抹			
1206	押			
1207	抽			
1208	拆			
1209	拈			
1210	拋			
1211	拌			
1212	拐			
1213	拒			
1214	拘			
1215	拙			
1216	招			
1217	拜			
1218	括			
1219	拼			
1220	拾			
1221	按			
1222	挨			
1223	挪			
1224	振			
1225	挺			
1226	挽			
1227	捎			
1228	捏			
1229	捐			
1230	捕			
1231	捧			
1232	捨			
1233	捲			
1234	掀			
1235	掃			
1236	授			
1237	掌			
1238	掏			
1239	掐			
1240	排			
1241	掘			
1242	掛			
1243	採			
1244	探			
1245	控			
1246	掩			
1247	揀			
1248	揉			
1249	描			
1250	揚			
1251	換			
1252	握			
1253	揩			
1254	揪			
1255	揮			
1256	援			
1257	損			
1258	搖			
1259	搗			
1260	搜			
1261	搞			
1262	搧			
1263	搭			
1264	搶			
1265	搽			
1266	摔			
1267	摘			
1268	摟			
1269	摩			
1270	撇			
1271	撈			
1272	撐			
1273	撓			
1274	撕			
1275	撞			
1276	撤			
1277	撥			
1278	播			
