NUMBER	CHINESE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	氣	air	27	AIR
2	全	all	98	ALL
3	皆	all	98	ALL
4	和	and	1577	AND
5	竹	bamboo	1927	BAMBOO
6	可	be able	972	BE ABLE
7	兄	big brother	1759	OLDER BROTHER
8	烏	bird	913	CROW
9	瓶	bottle	1321	BOTTLE
10	乳	breast	1402	BREAST
11	明	bright	679	BRIGHT
12	叫	call	1084	CALL
13	呼	call	180	CALL BY NAME
14	爪	claw	72	CLAW
15	布	cloth	1616	CLOTH
16	云	cloud	1489	CLOUD
17	令	cold	1287	COLD
18	來	come	1446	COME
19	牛	cow	3044	BOVINE
20	切	cut	1432	CUT
21	女	daughter	1357	DAUGHTER
22	天	sky	1732	SKY
23	朝	day	1225	DAY (NOT NIGHT)
24	亡	die	1494	DIE
25	狗	dog	2009	DOG
26	犬	dog	2009	DOG
27	下	down	1485	BELOW OR UNDER
28	干	dry	1398	DRY
29	地	earth, ground	2159	GROUND
30	土	earth, soil	1228	EARTH (SOIL)
31	冬	winter	1471	WINTER
32	東	east	1877	EAST
33	吃	eat	1336	EAT
34	卵	egg	744	EGG
35	八	eight	1705	EIGHT
36	空	empty	1624	EMPTY
37	入	enter	749	ENTER
38	平	even	1633	FLAT
39	晚	evening	1629	EVENING
40	眼	eye	1248	EYE
41	目	eye	1248	EYE
42	眉	eyebrow	1173	EYEBROW
43	屎	faeces	675	FAECES (EXCREMENT)
44	父	father	1217	FATHER
45	爸	father	1217	FATHER
46	毛	feather or hair	2381	FEATHER OR FUR OR HAIR
47	砍	fell (a tree)	463	FELL (A TREE)
48	娘	female person	2105	FEMALE PERSON
49	少	few	1242	FEW
50	田	field	140	PADDY FIELD
51	火	fire	221	FIRE
52	五	five	493	FIVE
53	力	force	202	STRENGTH
54	林	forest	420	FOREST
55	望	forget	1523	FORGET
56	四	four	1500	FOUR
57	友	friend	1325	FRIEND
58	朋	friend	1325	FRIEND
59	取	gather	1749	TAKE
60	生	give birth	1195	GIVE BIRTH
61	去	go away	695	GO
62	好	good	1035	GOOD
63	瓜	gourd or melon	3398	GOURD OR MELON
64	爹	grandfather	1383	GRANDFATHER
65	半	half	816	HALF
66	他	he or she or it	2642	HE OR SHE
67	其	his or her	2092	HIS OR HER
68	百	hundred	1634	HUNDRED
69	痛	hurt	1783	PAIN
70	仗	husband	1200	HUSBAND
71	在	in	1376	NOW
72	內	inside	1606	INSIDE
73	殺	kill	1417	KILL
74	王	king	1508	KING
75	刀	knife	1352	KNIFE
76	知	know	1410	KNOW (SOMETHING)
77	笑	laugh	1355	LAUGH
78	左	left	244	LEFT
79	信	letter	1612	LETTER
80	失	lose	1660	LOSE
81	男	male person	2106	MALE PERSON
82	娶	marry (a woman)	2164	MARRY (AS MAN)
83	中	middle, center	1093	MIDDLE
84	月	moon	1313	MOON
85	母	mother	1216	MOTHER
86	山	mountain	639	MOUNTAIN
87	口	mouth	674	MOUTH
88	泥	mud	640	MUD
89	名	name	1405	NAME
90	北	north	1598	NORTH
91	不	not	1240	NOT
92	否	not	1240	NOT
93	現	now	1376	NOW
94	古	old	2112	OLD (AGED)
95	一	one	1493	ONE
96	命	order	1128	ORDER
97	人	person	683	PERSON
98	玩	play	1413	PLAY
99	毒	poison	655	POISON
100	穿	put on (clothes)	976	WEAR
101	回	return	581	COME BACK
102	烤	roast	1962	ROAST (SOMETHING)
103	本	root	670	ROOT
104	告	say	1711	TELL
105	海	sea	1474	SEA
106	吏	send	1127	SEND
107	七	seven	1704	SEVEN
108	尖	sharp	372	POINTED
109	短	short	1645	SHORT
110	矮	short (in size)	721	LOW
111	坐	sit	1416	SIT
112	六	six	1703	SIX
113	皮	skin	763	SKIN
114	小	small	1246	SMALL
115	兵	soldier	1941	SOLDIER
116	子	son	1620	SON
117	兒	son	1620	SON
118	南	south	864	PUMPKIN
119	站	stand	1442	STAND
120	立	stand	1442	STAND
121	石	stone	857	STONE
122	直	straight	1404	STRAIGHT
123	日	sun	1343	SUN
124	桌	table	1775	TABLE
125	十	ten	1515	TEN
126	厚	thick	1244	THICK
127	千	thousand	1843	THOUSAND
128	三	three	492	THREE
129	瓦	tile	3404	TILE
130	牙	tooth	1380	TOOTH
131	二	two	1498	TWO
132	兩	two	1498	TWO
133	上	up	57	ATOP
134	用	use	2072	USE (VERB)
135	村	village	930	VILLAGE
136	洗	wash	1453	WASH
137	看	watch, look	1819	LOOK
138	周	week	1469	WEEK
139	井	well	954	WELL
140	西	west	1817	WEST
141	白	white	1335	WHITE
142	婆	wife	1199	WIFE
143	狼	wolf	522	WOLF
144	木	wood	1803	WOOD
145	年	year	1226	YEAR
146	昨	yesterday	1174	YESTERDAY
147	你	you	1215	THOU
148	秧	(rice) seedling	3050	SEEDLING
149	刮	(wind) blow	175	BLOW (OF WIND)
150	初	1st day of the lunar month	3354	FIRST DAY OF THE MONTH
151	瞎	a blind person	457	BLIND PERSON
152	酒	alcoholic beverage	404	ALCOHOL (FERMENTED DRINK)
153	活	alive (living)	1422	BE ALIVE
154	都	all	98	ALL
155	也	also		
156	方	angular	2757	ANGULAR (SQUAREFORMED)
157	肛	anus	1935	ANUS
158	到	arrive	1387	ARRIVE
159	箭	arrow	977	ARROW
160	灰	ash	646	ASH
161	茄	aubergine	1146	AUBERGINE
162	醒	awake	825	AWAKE
163	斧	axe	677	AXE
164	背	back (body)	1291	BACK
165	坏	bad	1292	BAD
166	球	ball	1845	BALL
167	是	be (copula)	1579	BE
168	成	be done/ accomplished	1990	BECOME
169	孕	be pregnant	1123	PREGNANT
170	害	be shy/bashful	487	SHY
171	羞	be shy/bashful	487	SHY
172	困	be sleepy		
173	渴	be thirsty	847	THIRSTY
174	累	be tired	1757	TIRED
175	豆	bean	2574	BEAN OR PEA
176	熊	bear	1820	BEAR
177	胡	beard/ moustache/ goatee	678	BEARD
178	美	beautiful	1427	BEAUTIFUL
179	床	bed	1663	BED
180	蜂	bee	665	BEE
181	箱	bellow		
182	肚	belly	1251	BELLY
183	大	big (large)	1202	BIG
184	咬	bite	1403	BITE
185	苦	bitter	887	BITTER
186	黑	black	163	BLACK
187	血	blood	946	BLOOD
188	吹	blow (trumpet)	176	BLOW (WITH MOUTH)
189	板	board	1227	BOARD
190	船	boat	1844	BOAT
191	身	body	1480	BODY
192	骨	bone	1394	BONE
193	借	borrow (money)	1823	BORROW
194	弓	bow	994	BOW
195	碗	bowl	1530	BOWL
196	枝	branch/ twig	1531	BRANCH
197	樹	branch/ twig	1531	BRANCH
198	破	break	680	BREAK (DESTROY OR GET DESTROYED)
199	裂	break	680	BREAK (DESTROY OR GET DESTROYED)
200	亮	bright	679	BRIGHT
201	孵	brood	2075	BROOD (VERB)
202	帚	broom	245	BROOM
203	刷	brush	1821	BRUSH
204	桶	bucket		
205	燃	burn	2102	BURN
206	埋	bury	1719	BURY
207	忙	busy	2755	BUSY
208	蝶	butterfly	1791	BUTTERFLY
209	屁	buttocks	834	BUTTOCKS
210	股	buttocks	834	BUTTOCKS
211	扣	button	757	BUTTON
212	罐	can (jar)	1051	CAN
213	藤	cane/ vine	2497	RATTAN
214	牌	card	2619	CARD
215	匠	carpenter	1042	CARPENTER
216	抬	carry	700	CARRY
