ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS
18	Fuzhou	一	.e.i.ʔ.²³	.e.i.ʔ.²³	ei ʔ ²³
19	Shanghai	一	.i.ɪ.ʔ.⁵	.i.ɪ.ʔ.⁵	i/j ɪ ʔ ⁵
20	Zhongyuan_Yinyun	一	.i.R³	.i.R³	i R³/²¹⁴
21	Beijing	丁	t.i.ŋ.⁵⁵	t.i.ŋ.⁵⁵	t i ŋ ⁵⁵
22	Jinan	丁	t.i.ŋ.²¹³	t.i.ŋ.²¹³	t i ŋ ²¹³
23	Xi_an	丁	t.i.ŋ.²¹	t.i.ŋ.²¹	t i ŋ ²¹
24	Taiyuan	丁	t.i.ŋ.¹¹	t.i.ŋ.¹¹	t i ŋ ¹¹
25	Hankou	丁	t.i.n.⁵⁵	t.i.n.⁵⁵	t i n ⁵⁵
26	Chengdu	丁	t.i.n.⁴⁴	t.i.n.⁴⁴	t i n ⁴⁴
27	Yangzhou	丁	t.iː ²¹	t.iː ²¹	t iː ²¹
28	Suzhou	丁	t.i.n.⁴⁴	t.i.n.⁴⁴	t i n ⁴⁴
29	Wenzhou	丁	t.e.ŋ.⁴⁴	t.e.ŋ.⁴⁴	t e ŋ ⁴⁴
30	Changsha	丁	t.i.n.³³	t.i.n.³³	t i n ³³
31	Shuangfeng	丁	t.i.n.⁵⁵	t.i.n.⁵⁵	t i n ⁵⁵
32	Nanchang	丁	t.i.n.⁴²	t.i.n.⁴²	t i n ⁴²
33	Nanchang	丁	t.i.a.ŋ.⁴²	t.i.a.ŋ.⁴²	t i/j a ŋ ⁴²
34	Meixian	丁	t.ɛ.n.⁴⁴	t.ɛ.n.⁴⁴	t ɛ n ⁴⁴
35	Guangzhou	丁	t.ɪ.ŋ.⁵³/⁵⁵	t.ɪ.ŋ.⁵³/⁵⁵	t ɪ ŋ ⁵³/⁵⁵
36	Xiamen	丁	t.ɪ.ŋ.⁵⁵	t.ɪ.ŋ.⁵⁵	t ɪ ŋ ⁵⁵
37	Chaozhou	丁	t.e.ŋ.³³	t.e.ŋ.³³	t e ŋ ³³
38	Fuzhou	丁	t.i.ŋ.⁴⁴	t.i.ŋ.⁴⁴	t i ŋ ⁴⁴
39	Shanghai	丁	t.i.ŋ.⁵³	t.i.ŋ.⁵³	t i ŋ ⁵³
40	Zhongyuan_Yinyun	丁	t.i.ə.ŋ.P	t.i.ə.ŋ.P	t i/j ə ŋ P/⁵⁵
41	Beijing	七	ʨʰ.i.⁵⁵	ʨʰ.i.⁵⁵	tɕʰ i ⁵⁵
42	Jinan	七	ʨʰ.i.²¹³	ʨʰ.i.²¹³	tɕʰ i ²¹³
43	Xi_an	七	ʨʰ.i.²¹	ʨʰ.i.²¹	tɕʰ i ²¹
44	Taiyuan	七	ʨʰ.i.ə.ʔ.²	ʨʰ.i.ə.ʔ.²	tɕʰ i/j ə ʔ ²
45	Hankou	七	ʨʰ.i.²¹³	ʨʰ.i.²¹³	tɕʰ i ²¹³
46	Chengdu	七	ʨʰ.i.³¹	ʨʰ.i.³¹	tɕʰ i ³¹
47	Yangzhou	七	ʨʰ.i.ə.ʔ.⁴	ʨʰ.i.ə.ʔ.⁴	tɕʰ i/j ə ʔ ⁴
48	Suzhou	七	ʦʰ.i.ɤ.ʔ.⁴	ʦʰ.i.ɤ.ʔ.⁴	tsʰ i/j ɤ ʔ ⁴
49	Wenzhou	七	ʦʰ.a.i.³²³	ʦʰ.a.i.³²³	tsʰ ai ³²³
50	Changsha	七	ʦʰ.i.²⁴	ʦʰ.i.²⁴	tsʰ i ²⁴
51	Shuangfeng	七	ʨʰ.i.²³	ʨʰ.i.²³	tɕʰ i ²³
52	Nanchang	七	ʨʰ.i.t.⁵	ʨʰ.i.t.⁵	tɕʰ i t ⁵
53	Meixian	七	ʦʰ.i.t.¹	ʦʰ.i.t.¹	tsʰ i t ¹
54	Guangzhou	七	ʧʰ.a.t.⁵	ʧʰ.a.t.⁵	tʃʰ a t ⁵
55	Xiamen	七	ʦʰ.i.t.³²	ʦʰ.i.t.³²	tsʰ i t ³²
56	Chaozhou	七	ʦʰ.i.k.²¹	ʦʰ.i.k.²¹	tsʰ i k ²¹
57	Fuzhou	七	ʦʰ.e.i.ʔ.²³	ʦʰ.e.i.ʔ.²³	tsʰ ei ʔ ²³
58	Shanghai	七	ʦʰ.ɪ.ʔ.⁵	ʦʰ.ɪ.ʔ.⁵	tsʰ ɪ ʔ ⁵
59	Zhongyuan_Yinyun	七	ʦʰ.i.R¹	ʦʰ.i.R¹	tsʰ i R¹/²¹⁴
60	Beijing	丈	tʂ.a.ŋ.⁵¹	tʂ.a.ŋ.⁵¹	ʈʂ a ŋ ⁵¹
61	Jinan	丈	tʂ.a.ŋ.²¹	tʂ.a.ŋ.²¹	ʈʂ a ŋ ²¹
62	Xi_an	丈	tʂ.a.ŋ.⁵⁵	tʂ.a.ŋ.⁵⁵	ʈʂ a ŋ ⁵⁵
63	Taiyuan	丈	ʦ.ɒː ⁴⁵	ʦ.ɒː ⁴⁵	ts ɒː ⁴⁵
64	Hankou	丈	ʦ.a.ŋ.³⁵	ʦ.a.ŋ.³⁵	ts a ŋ ³⁵
65	Chengdu	丈	ʦ.a.ŋ.¹³	ʦ.a.ŋ.¹³	ts a ŋ ¹³
66	Yangzhou	丈	ʦ.ɑ.ŋ.⁵⁵	ʦ.ɑ.ŋ.⁵⁵	ts ɑ ŋ ⁵⁵
67	Suzhou	丈	z.a.ŋ.³¹	z.a.ŋ.³¹	z a ŋ ³¹
68	Wenzhou	丈	ʥ.i.³⁴	ʥ.i.³⁴	dʑ i ³⁴
69	Changsha	丈	tʂ.a.n.⁵⁵	tʂ.a.n.⁵⁵	ʈʂ a n ⁵⁵
70	Changsha	丈	tʂ.a.n.²¹	tʂ.a.n.²¹	ʈʂ a n ²¹
71	Shuangfeng	丈	d.a.ŋ.³³	d.a.ŋ.³³	d a ŋ ³³
72	Nanchang	丈	ʦʰ.ɔ.ŋ.²¹	ʦʰ.ɔ.ŋ.²¹	tsʰ ɔ ŋ ²¹
73	Meixian	丈	ʦʰ.ɔ.ŋ.⁵²	ʦʰ.ɔ.ŋ.⁵²	tsʰ ɔ ŋ ⁵²
74	Guangzhou	丈	ʧ.œ.ŋ.²²	ʧ.œ.ŋ.²²	tʃ œ ŋ ²²
75	Xiamen	丈	t.i.ɔ.ŋ.³³	t.i.ɔ.ŋ.³³	t i/j ɔ ŋ ³³
76	Xiamen	丈	t.i.uː ³³	t.i.uː ³³	t iuː ³³
77	Xiamen	丈	t.ŋ.³³	t.ŋ.³³	t ŋ ³³
78	Chaozhou	丈	ʦ.i.a.ŋ.³⁵	ʦ.i.a.ŋ.³⁵	ts i/j a ŋ ³⁵
79	Fuzhou	丈	t.u.ɔ.ŋ.²⁴²	t.u.ɔ.ŋ.²⁴²	t u/w ɔ ŋ ²⁴²
80	Shanghai	丈	z.aː ¹³	z.aː ¹³	z aː ¹³
81	Zhongyuan_Yinyun	丈	ʧ.i.a.ŋ.Q	ʧ.i.a.ŋ.Q	tʃ i/j a ŋ Q/⁵¹
82	Beijing	三	s.a.n.⁵⁵	s.a.n.⁵⁵	s a n ⁵⁵
83	Jinan	三	s.aː ²¹³	s.aː ²¹³	s aː ²¹³
84	Xi_an	三	s.aː ²¹	s.aː ²¹	s aː ²¹
85	Taiyuan	三	s.æː ¹¹	s.æː ¹¹	s æː ¹¹
86	Hankou	三	s.a.n.⁵⁵	s.a.n.⁵⁵	s a n ⁵⁵
87	Chengdu	三	s.a.n.⁴⁴	s.a.n.⁴⁴	s a n ⁴⁴
88	Yangzhou	三	s.ɛː ²¹	s.ɛː ²¹	s ɛː ²¹
89	Suzhou	三	s.E.⁴⁴	s.E.⁴⁴	s ᴇ/ɛ ⁴⁴
90	Wenzhou	三	s.a.⁴⁴	s.a.⁴⁴	s a ⁴⁴
91	Changsha	三	s.a.n.³³	s.a.n.³³	s a n ³³
92	Shuangfeng	三	s.aː ⁵⁵	s.aː ⁵⁵	s aː ⁵⁵
93	Nanchang	三	s.a.n.⁴²	s.a.n.⁴²	s a n ⁴²
94	Meixian	三	s.a.m.⁴⁴	s.a.m.⁴⁴	s a m ⁴⁴
95	Guangzhou	三	ʃ.a:.m.⁵³/⁵⁵	ʃ.a:.m.⁵³/⁵⁵	ʃ aː m ⁵³/⁵⁵
96	Xiamen	三	s.a.m.⁵⁵	s.a.m.⁵⁵	s a m ⁵⁵
97	Xiamen	三	s.aː ⁵⁵	s.aː ⁵⁵	s aː ⁵⁵
98	Chaozhou	三	s.aː	s.aː	s aː
99	Fuzhou	三	s.a.ŋ.⁴⁴	s.a.ŋ.⁴⁴	s a ŋ ⁴⁴
100	Shanghai	三	s.E.⁵³	s.E.⁵³	s ᴇ/ɛ ⁵³
101	Zhongyuan_Yinyun	三	s.a.m.Q	s.a.m.Q	s a m Q/⁵¹
102	Beijing	上	ʂ.a.ŋ.⁵¹	ʂ.a.ŋ.⁵¹	ʂ a ŋ ⁵¹
103	Jinan	上	ʂ.a.ŋ.²¹	ʂ.a.ŋ.²¹	ʂ a ŋ ²¹
104	Xi_an	上	ʂ.a.ŋ.⁵⁵	ʂ.a.ŋ.⁵⁵	ʂ a ŋ ⁵⁵
105	Taiyuan	上	s.ɒː ⁴⁵	s.ɒː ⁴⁵	s ɒː ⁴⁵
106	Hankou	上	s.a.ŋ.³⁵	s.a.ŋ.³⁵	s a ŋ ³⁵
107	Chengdu	上	s.a.ŋ.¹³	s.a.ŋ.¹³	s a ŋ ¹³
108	Yangzhou	上	s.ɑ.ŋ.⁵⁵	s.ɑ.ŋ.⁵⁵	s ɑ ŋ ⁵⁵
109	Suzhou	上	z.a.ŋ.³¹	z.a.ŋ.³¹	z a ŋ ³¹
110	Suzhou	上	z.ɒ.ŋ.³¹	z.ɒ.ŋ.³¹	z ɒ ŋ ³¹
111	Wenzhou	上	ɦ.i.²²	ɦ.i.²²	ɦ i ²²
112	Changsha	上	ʂ.a.n.⁵⁵	ʂ.a.n.⁵⁵	ʂ a n ⁵⁵
113	Changsha	上	ʂ.a.n.²¹	ʂ.a.n.²¹	ʂ a n ²¹
114	Shuangfeng	上	ɣ.i.a.ŋ.³³	ɣ.i.a.ŋ.³³	ɣ i/j a ŋ ³³
115	Nanchang	上	s.ɔ.ŋ.²¹	s.ɔ.ŋ.²¹	s ɔ ŋ ²¹
116	Meixian	上	s.ɔ.ŋ.⁵²	s.ɔ.ŋ.⁵²	s ɔ ŋ ⁵²
117	Guangzhou	上	ʃ.œ.ŋ.²³	ʃ.œ.ŋ.²³	ʃ œ ŋ ²³
118	Xiamen	上	s.i.ɔ.ŋ.³³	s.i.ɔ.ŋ.³³	s i/j ɔ ŋ ³³
119	Xiamen	上	s.i.a.ŋ.³³	s.i.a.ŋ.³³	s i/j a ŋ ³³
120	Chaozhou	上	ʦ.i.eː ³⁵	ʦ.i.eː ³⁵	ts ieː ³⁵
121	Fuzhou	上	s.u.ɔ.ŋ.²⁴²	s.u.ɔ.ŋ.²⁴²	s u/w ɔ ŋ ²⁴²
122	Shanghai	上	z.ɒː ¹³	z.ɒː ¹³	z ɒː ¹³
123	Zhongyuan_Yinyun	上	ʃ.i.a.ŋ.Q	ʃ.i.a.ŋ.Q	ʃ i/j a ŋ Q/⁵¹
124	Beijing	上	ʂ.a.ŋ.⁵¹	ʂ.a.ŋ.⁵¹	ʂ a ŋ ⁵¹
125	Jinan	上	ʂ.a.ŋ.²¹	ʂ.a.ŋ.²¹	ʂ a ŋ ²¹
126	Xi_an	上	ʂ.a.ŋ.⁵⁵	ʂ.a.ŋ.⁵⁵	ʂ a ŋ ⁵⁵
127	Taiyuan	上	s.ɒː ⁴⁵	s.ɒː ⁴⁵	s ɒː ⁴⁵
128	Hankou	上	s.a.ŋ.³⁵	s.a.ŋ.³⁵	s a ŋ ³⁵
129	Chengdu	上	s.a.ŋ.¹³	s.a.ŋ.¹³	s a ŋ ¹³
130	Yangzhou	上	s.ɑ.ŋ.⁵⁵	s.ɑ.ŋ.⁵⁵	s ɑ ŋ ⁵⁵
131	Suzhou	上	z.a.ŋ.³¹	z.a.ŋ.³¹	z a ŋ ³¹
132	Suzhou	上	z.ɒ.ŋ.³¹	z.ɒ.ŋ.³¹	z ɒ ŋ ³¹
133	Wenzhou	上	ɦ.i.²²	ɦ.i.²²	ɦ i ²²
134	Changsha	上	ʂ.a.n.⁵⁵	ʂ.a.n.⁵⁵	ʂ a n ⁵⁵
135	Changsha	上	ʂ.a.n.²¹	ʂ.a.n.²¹	ʂ a n ²¹
136	Nanchang	上	s.ɔ.ŋ.²¹	s.ɔ.ŋ.²¹	s ɔ ŋ ²¹
137	Meixian	上	s.ɔ.ŋ.⁵²	s.ɔ.ŋ.⁵²	s ɔ ŋ ⁵²
138	Guangzhou	上	ʃ.œ.ŋ.²²	ʃ.œ.ŋ.²²	ʃ œ ŋ ²²
139	Xiamen	上	s.i.ɔ.ŋ.³³	s.i.ɔ.ŋ.³³	s i/j ɔ ŋ ³³
140	Xiamen	上	s.i.uː ³³	s.i.uː ³³	s iuː ³³
141	Chaozhou	上	ʦ.i.eː ¹¹	ʦ.i.eː ¹¹	ts ieː ¹¹
142	Fuzhou	上	s.u.ɔ.ŋ.²⁴²	s.u.ɔ.ŋ.²⁴²	s u/w ɔ ŋ ²⁴²
143	Shanghai	上	z.ɒː ¹³	z.ɒː ¹³	z ɒː ¹³
144	Zhongyuan_Yinyun	上	ʃ.i.a.ŋ.Q	ʃ.i.a.ŋ.Q	ʃ i/j a ŋ Q/⁵¹
145	Beijing	下	ɕ.i.a.⁵¹	ɕ.i.a.⁵¹	ɕ i/j a ⁵¹
146	Jinan	下	ɕ.i.a.²¹	ɕ.i.a.²¹	ɕ i/j a ²¹
147	Xi_an	下	ɕ.i.a.⁵⁵	ɕ.i.a.⁵⁵	ɕ i/j a ⁵⁵
148	Taiyuan	下	ɕ.i.a.⁴⁵	ɕ.i.a.⁴⁵	ɕ i/j a ⁴⁵
149	Hankou	下	ɕ.i.a.³⁵	ɕ.i.a.³⁵	ɕ i/j a ³⁵
150	Hankou	下	x.a.³⁵	x.a.³⁵	x a ³⁵
151	Chengdu	下	ɕ.i.a.¹³	ɕ.i.a.¹³	ɕ i/j a ¹³
152	Yangzhou	下	x.ɑ.⁵⁵	x.ɑ.⁵⁵	x ɑ ⁵⁵
153	Yangzhou	下	ɕ.i.ɑ.⁵⁵	ɕ.i.ɑ.⁵⁵	ɕ i/j ɑ ⁵⁵
154	Suzhou	下	.i.ɒ.³¹	.i.ɒ.³¹	i/j ɒ ³¹
155	Suzhou	下	ɦ.o.³¹	ɦ.o.³¹	ɦ o ³¹
156	Wenzhou	下	ɦ.o.³⁴	ɦ.o.³⁴	ɦ o ³⁴
157	Changsha	下	.i.a.²¹	.i.a.²¹	i/j a ²¹
158	Changsha	下	x.a.²¹	x.a.²¹	x a ²¹
159	Shuangfeng	下	ɣ.i.o.³³	ɣ.i.o.³³	ɣ i/j o ³³
160	Shuangfeng	下	ɣ.o.³³	ɣ.o.³³	ɣ o ³³
161	Nanchang	下	h.a.²¹	h.a.²¹	h a ²¹
162	Meixian	下	h.a.⁵²	h.a.⁵²	h a ⁵²
163	Guangzhou	下	h.a.²³	h.a.²³	h a ²³
164	Xiamen	下	h.a.³³	h.a.³³	h a ³³
165	Xiamen	下	h.e.³³	h.e.³³	h e ³³
166	Xiamen	下	.e.³³	.e.³³	e ³³
167	Chaozhou	下	.e.³⁵	.e.³⁵	e ³⁵
168	Fuzhou	下	.a.²⁴²	.a.²⁴²	a ²⁴²
169	Shanghai	下	ɦ.o.¹³	ɦ.o.¹³	ɦ o ¹³
170	Zhongyuan_Yinyun	下	x.a.Q	x.a.Q	x a Q/⁵¹
171	Beijing	下	ɕ.i.a.⁵¹	ɕ.i.a.⁵¹	ɕ i/j a ⁵¹
172	Jinan	下	ɕ.i.a.²¹	ɕ.i.a.²¹	ɕ i/j a ²¹
173	Xi_an	下	ɕ.i.a.⁵⁵	ɕ.i.a.⁵⁵	ɕ i/j a ⁵⁵
174	Taiyuan	下	ɕ.i.a.⁴⁵	ɕ.i.a.⁴⁵	ɕ i/j a ⁴⁵
175	Hankou	下	ɕ.i.a.³⁵	ɕ.i.a.³⁵	ɕ i/j a ³⁵
176	Chengdu	下	ɕ.i.a.¹³	ɕ.i.a.¹³	ɕ i/j a ¹³
177	Yangzhou	下	ɕ.i.ɑ.⁵⁵	ɕ.i.ɑ.⁵⁵	ɕ i/j ɑ ⁵⁵
178	Yangzhou	下	x.ɑ.⁵⁵	x.ɑ.⁵⁵	x ɑ ⁵⁵
179	Suzhou	下	ɕ.i.ɒ.⁴¹²	ɕ.i.ɒ.⁴¹²	ɕ i/j ɒ ⁴¹²
180	Suzhou	下	ɦ.o.³¹	ɦ.o.³¹	ɦ o ³¹
181	Wenzhou	下	ɦ.o.³⁴	ɦ.o.³⁴	ɦ o ³⁴
182	Changsha	下	ɕ.i.a.²¹	ɕ.i.a.²¹	ɕ i/j a ²¹
183	Changsha	下	x.a.²¹	x.a.²¹	x a ²¹
184	Shuangfeng	下	ɣ.i.o.³³	ɣ.i.o.³³	ɣ i/j o ³³
185	Shuangfeng	下	ɣ.o.³³	ɣ.o.³³	ɣ o ³³
186	Nanchang	下	h.a.²¹	h.a.²¹	h a ²¹
187	Meixian	下	h.a.⁵²	h.a.⁵²	h a ⁵²
188	Guangzhou	下	h.a.²²	h.a.²²	h a ²²
189	Xiamen	下	h.a.³³	h.a.³³	h a ³³
190	Xiamen	下	h.e.³³	h.e.³³	h e ³³
191	Xiamen	下	.e.³³	.e.³³	e ³³
192	Chaozhou	下	h.i.a.³⁵	h.i.a.³⁵	h i/j a ³⁵
193	Fuzhou	下	x.a.²⁴²	x.a.²⁴²	x a ²⁴²
194	Shanghai	下	ɦ.o.¹³	ɦ.o.¹³	ɦ o ¹³
195	Zhongyuan_Yinyun	下	x.a.S	x.a.S	x a S/³⁵
196	Beijing	不	p.u.⁵¹	p.u.⁵¹	p u ⁵¹
197	Jinan	不	p.u.²¹³	p.u.²¹³	p u ²¹³
198	Xi_an	不	p.u.²¹	p.u.²¹	p u ²¹
199	Taiyuan	不	p.ə.ʔ.²	p.ə.ʔ.²	p ə ʔ ²
200	Hankou	不	p.u.²¹³	p.u.²¹³	p u ²¹³
201	Chengdu	不	p.u.³¹	p.u.³¹	p u ³¹
202	Yangzhou	不	p.ə.ʔ.⁴	p.ə.ʔ.⁴	p ə ʔ ⁴
203	Suzhou	不	p.ɤ.ʔ.⁴	p.ɤ.ʔ.⁴	p ɤ ʔ ⁴
204	Wenzhou	不	p.a.i.³²³	p.a.i.³²³	p ai ³²³
205	Changsha	不	p.u.²⁴	p.u.²⁴	p u ²⁴
206	Shuangfeng	不	p.u.²³	p.u.²³	p u ²³
207	Nanchang	不	p.ə.t.⁵	p.ə.t.⁵	p ə t ⁵
208	Meixian	不	p.u.t.¹	p.u.t.¹	p u t ¹
209	Guangzhou	不	p.a.t.⁵	p.a.t.⁵	p a t ⁵
210	Xiamen	不	p.u.t.³²	p.u.t.³²	p u t ³²
211	Xiamen	不	.m.³³	.m.³³	m ³³
212	Chaozhou	不	p.u.k.²¹	p.u.k.²¹	p u k ²¹
213	Fuzhou	不	p.o.u.ʔ.²³	p.o.u.ʔ.²³	p ou ʔ ²³
214	Shanghai	不	p.ɤ.ʔ.⁵	p.ɤ.ʔ.⁵	p ɤ ʔ ⁵
215	Zhongyuan_Yinyun	不	p.u.R¹	p.u.R¹	p u R¹/²¹⁴
216	Beijing	且	ʨʰ.i.e.²¹⁴	ʨʰ.i.e.²¹⁴	tɕʰ i/j e ²¹⁴
217	Jinan	且	ʨʰ.i.e.²¹³	ʨʰ.i.e.²¹³	tɕʰ i/j e ²¹³
218	Xi_an	且	ʨʰ.i.e.⁵³	ʨʰ.i.e.⁵³	tɕʰ i/j e ⁵³
219	Taiyuan	且	ʨʰ.i.ɛ.⁵³	ʨʰ.i.ɛ.⁵³	tɕʰ i/j ɛ ⁵³
220	Hankou	且	ʨʰ.i.e.²¹³	ʨʰ.i.e.²¹³	tɕʰ i/j e ²¹³
221	Chengdu	且	ʨʰ.i.e.⁵³	ʨʰ.i.e.⁵³	tɕʰ i/j e ⁵³
222	Yangzhou	且	ʨʰ.ɪ.⁴²	ʨʰ.ɪ.⁴²	tɕʰ ɪ ⁴²
223	Suzhou	且	ʦʰ.i.ɒ.⁵²	ʦʰ.i.ɒ.⁵²	tsʰ i/j ɒ ⁵²
224	Wenzhou	且	ʦʰ.e.i.⁴⁵	ʦʰ.e.i.⁴⁵	tsʰ ei ⁴⁵
225	Changsha	且	ʦʰ.i.e.⁴¹	ʦʰ.i.e.⁴¹	tsʰ i/j e ⁴¹
226	Shuangfeng	且	ʨʰ.i.o.²¹	ʨʰ.i.o.²¹	tɕʰ i/j o ²¹
227	Nanchang	且	ʨʰ.i.a.²¹³	ʨʰ.i.a.²¹³	tɕʰ i/j a ²¹³
228	Meixian	且	ʦʰ.i.a.³¹	ʦʰ.i.a.³¹	tsʰ i/j a ³¹
229	Guangzhou	且	ʧʰ.ɛ.³⁵	ʧʰ.ɛ.³⁵	tʃʰ ɛ ³⁵
230	Xiamen	且	ʦʰ.i.a.⁵¹	ʦʰ.i.a.⁵¹	tsʰ i/j a ⁵¹
231	Chaozhou	且	ʦʰ.i.a.⁵³	ʦʰ.i.a.⁵³	tsʰ i/j a ⁵³
232	Fuzhou	且	ʦʰ.i.a.³¹	ʦʰ.i.a.³¹	tsʰ i/j a ³¹
233	Shanghai	且	ʦʰ.i.⁵³	ʦʰ.i.⁵³	tsʰ i ⁵³
234	Zhongyuan_Yinyun	且	ʦʰ.i.e.S	ʦʰ.i.e.S	tsʰ i/j e S/³⁵
235	Beijing	世	ʂ.ʅ.⁵¹	ʂ.ʅ.⁵¹	ʂ ʅ ⁵¹
236	Jinan	世	ʂ.ʅ.²¹	ʂ.ʅ.²¹	ʂ ʅ ²¹
237	Xi_an	世	ʂ.ʅ.⁵⁵	ʂ.ʅ.⁵⁵	ʂ ʅ ⁵⁵
238	Taiyuan	世	s.ɿ.⁴⁵	s.ɿ.⁴⁵	s ɿ ⁴⁵
239	Hankou	世	s.ɿ.³⁵	s.ɿ.³⁵	s ɿ ³⁵
240	Chengdu	世	s.ɿ.¹³	s.ɿ.¹³	s ɿ ¹³
241	Yangzhou	世	s.ɿ.⁵⁵	s.ɿ.⁵⁵	s ɿ ⁵⁵
242	Suzhou	世	s.ɥ.⁴⁴	s.ɥ.⁴⁴	s ɥ ⁴⁴
243	Wenzhou	世	s.e.i.⁴²	s.e.i.⁴²	s ei ⁴²
244	Changsha	世	ʂ.ʅ.⁵⁵	ʂ.ʅ.⁵⁵	ʂ ʅ ⁵⁵
245	Shuangfeng	世	ʂ.ʅ.³⁵	ʂ.ʅ.³⁵	ʂ ʅ ³⁵
246	Nanchang	世	s.ɿ.⁴⁵	s.ɿ.⁴⁵	s ɿ ⁴⁵
247	Meixian	世	s.ɿ.⁵²	s.ɿ.⁵²	s ɿ ⁵²
248	Guangzhou	世	ʃ.a.i.³³	ʃ.a.i.³³	ʃ ai ³³
249	Xiamen	世	s.i.¹¹	s.i.¹¹	s i ¹¹
250	Xiamen	世	s.e.¹¹	s.e.¹¹	s e ¹¹
251	Chaozhou	世	s.i.²¹³	s.i.²¹³	s i ²¹³
