ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS
31178	Nanchang	E	ɕ.i.ɔ.ŋ.⁴²	ɕ.i.ɔ.ŋ.⁴²	ɕ i/j ɔ ŋ ⁴²
31179	Meixian	E	s.i.ɔ.ŋ.⁴⁴	s.i.ɔ.ŋ.⁴⁴	s i/j ɔ ŋ ⁴⁴
31180	Guangzhou	E	ʃ.œ.ŋ.⁵³/⁵⁵	ʃ.œ.ŋ.⁵³/⁵⁵	ʃ œ ŋ ⁵³/⁵⁵
31181	Xiamen	E	s.i.ɔ.ŋ.⁵⁵	s.i.ɔ.ŋ.⁵⁵	s i/j ɔ ŋ ⁵⁵
31182	Xiamen	E	s.i.uː ⁵⁵	s.i.uː ⁵⁵	s iuː ⁵⁵
31183	Chaozhou	E	s.i.a.ŋ.³³	s.i.a.ŋ.³³	s i/j a ŋ ³³
31184	Fuzhou	E	s.u.ɔ.ŋ.⁴⁴	s.u.ɔ.ŋ.⁴⁴	s u/w ɔ ŋ ⁴⁴
31185	Shanghai	E	s.i.aː ⁵³	s.i.aː ⁵³	s iaː ⁵³
31186	Zhongyuan_Yinyun	E	s.i.a.ŋ.P	s.i.a.ŋ.P	s i/j a ŋ P/⁵⁵
36244	Xi_an	E	ʦ.a.u.⁵⁵	ʦ.a.u.⁵⁵	ts au ⁵⁵
36245	Taiyuan	E	ʦ.a.u.⁴⁵	ʦ.a.u.⁴⁵	ts au ⁴⁵
36246	Hankou	E	ʦ.a.u.³⁵	ʦ.a.u.³⁵	ts au ³⁵
36247	Chengdu	E	ʦ.a.u.¹³	ʦ.a.u.¹³	ts au ¹³
36248	Yangzhou	E	ʦ.ɔ.⁵⁵	ʦ.ɔ.⁵⁵	ts ɔ ⁵⁵
36249	Suzhou	E	ʦ.æ.⁴¹²	ʦ.æ.⁴¹²	ts æ ⁴¹²
36250	Wenzhou	E	ʦ.ɔ.⁴²	ʦ.ɔ.⁴²	ts ɔ ⁴²
36251	Changsha	E	ʦ.a.u.⁵⁵	ʦ.a.u.⁵⁵	ts au ⁵⁵
36252	Shuangfeng	E	ʦ.ə.³⁵	ʦ.ə.³⁵	ts ə ³⁵
36253	Nanchang	E	ʦ.a.u.⁴⁵	ʦ.a.u.⁴⁵	ts au ⁴⁵
36254	Meixian	E	ʦ.a.u.⁵²	ʦ.a.u.⁵²	ts au ⁵²
36255	Guangzhou	E	ʧ.a:.u.³³	ʧ.a:.u.³³	tʃ aːu ³³
36256	Xiamen	E	t.i.a.u.¹¹	t.i.a.u.¹¹	t i/j au ¹¹
36257	Xiamen	E	t.a.¹¹	t.a.¹¹	t a ¹¹
36258	Chaozhou	E	ʦ.a.u.³⁵	ʦ.a.u.³⁵	ts au ³⁵
36259	Fuzhou	E	t.a.u.²¹³	t.a.u.²¹³	t au ²¹³
36260	Shanghai	E	ʦ.ɔ.³⁵/⁵⁵	ʦ.ɔ.³⁵/⁵⁵	ts ɔ ³⁵/⁵⁵
36261	Zhongyuan_Yinyun	E	ʧ.a.u.Q	ʧ.a.u.Q	tʃ au Q/⁵¹
1	Beijing	一	.i.⁵⁵	.i.⁵⁵	i ⁵⁵
2	Jinan	一	.i.²¹³	.i.²¹³	i ²¹³
3	Xi_an	一	.i.²¹	.i.²¹	i ²¹
4	Taiyuan	一	.i.ə.ʔ.²	.i.ə.ʔ.²	i/j ə ʔ ²
5	Hankou	一	.i.²¹³	.i.²¹³	i ²¹³
6	Chengdu	一	.i.³¹	.i.³¹	i ³¹
7	Yangzhou	一	.i.ə.ʔ.⁴	.i.ə.ʔ.⁴	i/j ə ʔ ⁴
8	Suzhou	一	.i.ɤ.ʔ.⁴	.i.ɤ.ʔ.⁴	i/j ɤ ʔ ⁴
9	Wenzhou	一	.i.a.i.³²³	.i.a.i.³²³	i/j ai ³²³
10	Changsha	一	.i.²⁴	.i.²⁴	i ²⁴
11	Shuangfeng	一	.i.²³	.i.²³	i ²³
12	Nanchang	一	.i.t.⁵	.i.t.⁵	i t ⁵
13	Meixian	一	j.i.t.¹	j.i.t.¹	j i t ¹
14	Guangzhou	一	j.a.t.⁵	j.a.t.⁵	j a t ⁵
15	Xiamen	一	.i.t.³²	.i.t.³²	i t ³²
16	Xiamen	一	ʦ.i.t.³²	ʦ.i.t.³²	ts i t ³²
17	Chaozhou	一	.i.k.²¹	.i.k.²¹	i k ²¹
