CHARACTER	PINYIN	DOCULECT	VALUE	SEGMENTS	WENBAI_YIDU
一	yī	Beijing	.i.⁵⁵	i ⁵⁵	1
一	yī	Jinan	.i.²¹³	i ²¹³	1
一	yī	Xi_an	.i.²¹	i ²¹	1
一	yī	Taiyuan	.i.ə.ʔ.²	i ə ʔ ²	1
一	yī	Hankou	.i.²¹³	i ²¹³	1
一	yī	Chengdu	.i.³¹	i ³¹	1
一	yī	Yangzhou	.i.ə.ʔ.⁴	i ə ʔ ⁴	1
一	yī	Suzhou	.i.ɤ.ʔ.⁴	i ɤ ʔ ⁴	1
一	yī	Wenzhou	.i.a.i.³²³	i a i ³²³	1
一	yī	Changsha	.i.²⁴	i ²⁴	1
一	yī	Shuangfeng	.i.²³	i ²³	1
一	yī	Nanchang	.i.t.⁵	i t ⁵	1
一	yī	Meixian	j.i.t.¹	j i t ¹	1
一	yī	Guangzhou	j.a.t.⁵	j a t ⁵	1
一	yī	Xiamen	.i.t.³²	i t ³²	1
一	yī	Xiamen	ʦ.i.t.³²	ʦ i t ³²	1
一	yī	Chaozhou	.i.k.²¹	i k ²¹	1
一	yī	Fuzhou	.e.i.ʔ.²³	e i ʔ ²³	1
一	yī	Shanghai	.i.ɪ.ʔ.⁵	i ɪ ʔ ⁵	1
一	yī	Zhongyuan_Yinyun	.i.R³	i R³	1
丁	dīng	Beijing	t.i.ŋ.⁵⁵	t i ŋ ⁵⁵	1
丁	dīng	Jinan	t.i.ŋ.²¹³	t i ŋ ²¹³	1
丁	dīng	Xi_an	t.i.ŋ.²¹	t i ŋ ²¹	1
丁	dīng	Taiyuan	t.i.ŋ.¹¹	t i ŋ ¹¹	1
丁	dīng	Hankou	t.i.n.⁵⁵	t i n ⁵⁵	1
丁	dīng	Chengdu	t.i.n.⁴⁴	t i n ⁴⁴	1
丁	dīng	Yangzhou	t.iː ²¹	t iː ²¹	1
丁	dīng	Suzhou	t.i.n.⁴⁴	t i n ⁴⁴	1
丁	dīng	Wenzhou	t.e.ŋ.⁴⁴	t e ŋ ⁴⁴	1
丁	dīng	Changsha	t.i.n.³³	t i n ³³	1
丁	dīng	Shuangfeng	t.i.n.⁵⁵	t i n ⁵⁵	1
丁	dīng	Nanchang	t.i.n.⁴²	t i n ⁴²	1
丁	dīng	Nanchang	t.i.a.ŋ.⁴²	t i a ŋ ⁴²	1
丁	dīng	Meixian	t.ɛ.n.⁴⁴	t ɛ n ⁴⁴	1
丁	dīng	Guangzhou	t.ɪ.ŋ.⁵³/⁵⁵	t ɪ ŋ ⁵³/⁵⁵	1
丁	dīng	Xiamen	t.ɪ.ŋ.⁵⁵	t ɪ ŋ ⁵⁵	1
丁	dīng	Chaozhou	t.e.ŋ.³³	t e ŋ ³³	1
丁	dīng	Fuzhou	t.i.ŋ.⁴⁴	t i ŋ ⁴⁴	1
丁	dīng	Shanghai	t.i.ŋ.⁵³	t i ŋ ⁵³	1
丁	dīng	Zhongyuan_Yinyun	t.i.ə.ŋ.P	t i ə ŋ P	1
七	qī	Beijing	ʨʰ.i.⁵⁵	ʨʰ i ⁵⁵	1
七	qī	Jinan	ʨʰ.i.²¹³	ʨʰ i ²¹³	1
七	qī	Xi_an	ʨʰ.i.²¹	ʨʰ i ²¹	1
七	qī	Taiyuan	ʨʰ.i.ə.ʔ.²	ʨʰ i ə ʔ ²	1
七	qī	Hankou	ʨʰ.i.²¹³	ʨʰ i ²¹³	1
七	qī	Chengdu	ʨʰ.i.³¹	ʨʰ i ³¹	1
七	qī	Yangzhou	ʨʰ.i.ə.ʔ.⁴	ʨʰ i ə ʔ ⁴	1
七	qī	Suzhou	ʦʰ.i.ɤ.ʔ.⁴	ʦʰ i ɤ ʔ ⁴	1
七	qī	Wenzhou	ʦʰ.a.i.³²³	ʦʰ a i ³²³	1
七	qī	Changsha	ʦʰ.i.²⁴	ʦʰ i ²⁴	1
七	qī	Shuangfeng	ʨʰ.i.²³	ʨʰ i ²³	1
七	qī	Nanchang	ʨʰ.i.t.⁵	ʨʰ i t ⁵	1
七	qī	Meixian	ʦʰ.i.t.¹	ʦʰ i t ¹	1
七	qī	Guangzhou	ʧʰ.a.t.⁵	ʧʰ a t ⁵	1
七	qī	Xiamen	ʦʰ.i.t.³²	ʦʰ i t ³²	1
七	qī	Chaozhou	ʦʰ.i.k.²¹	ʦʰ i k ²¹	1
七	qī	Fuzhou	ʦʰ.e.i.ʔ.²³	ʦʰ e i ʔ ²³	1
七	qī	Shanghai	ʦʰ.ɪ.ʔ.⁵	ʦʰ ɪ ʔ ⁵	1
七	qī	Zhongyuan_Yinyun	ʦʰ.i.R¹	ʦʰ i R¹	1
丈	zhàng	Beijing	tʂ.a.ŋ.⁵¹	tʂ a ŋ ⁵¹	1
丈	zhàng	Jinan	tʂ.a.ŋ.²¹	tʂ a ŋ ²¹	1
丈	zhàng	Xi_an	tʂ.a.ŋ.⁵⁵	tʂ a ŋ ⁵⁵	1
丈	zhàng	Taiyuan	ʦ.ɒː ⁴⁵	ʦ ɒː ⁴⁵	1
丈	zhàng	Hankou	ʦ.a.ŋ.³⁵	ʦ a ŋ ³⁵	1
丈	zhàng	Chengdu	ʦ.a.ŋ.¹³	ʦ a ŋ ¹³	1
丈	zhàng	Yangzhou	ʦ.ɑ.ŋ.⁵⁵	ʦ ɑ ŋ ⁵⁵	1
丈	zhàng	Suzhou	z.a.ŋ.³¹	z a ŋ ³¹	1
丈	zhàng	Wenzhou	ʥ.i.³⁴	ʥ i ³⁴	1
丈	zhàng	Changsha	tʂ.a.n.⁵⁵	tʂ a n ⁵⁵	1
丈	zhàng	Changsha	tʂ.a.n.²¹	tʂ a n ²¹	1
丈	zhàng	Shuangfeng	d.a.ŋ.³³	d a ŋ ³³	1
丈	zhàng	Nanchang	ʦʰ.ɔ.ŋ.²¹	ʦʰ ɔ ŋ ²¹	1
丈	zhàng	Meixian	ʦʰ.ɔ.ŋ.⁵²	ʦʰ ɔ ŋ ⁵²	1
丈	zhàng	Guangzhou	ʧ.œ.ŋ.²²	ʧ œ ŋ ²²	1
丈	zhàng	Xiamen	t.i.ɔ.ŋ.³³	t i ɔ ŋ ³³	1
丈	zhàng	Xiamen	t.i.uː ³³	t i uː ³³	1
丈	zhàng	Xiamen	t.ŋ.³³	t ŋ ³³	1
丈	zhàng	Chaozhou	ʦ.i.a.ŋ.³⁵	ʦ i a ŋ ³⁵	1
丈	zhàng	Fuzhou	t.u.ɔ.ŋ.²⁴²	t u ɔ ŋ ²⁴²	1
丈	zhàng	Shanghai	z.aː ¹³	z aː ¹³	1
