CHARACTER	PINYIN	DOCULECT	VALUE	SEGMENTS	WENBAI_YIDU
丈	zhàng	Zhongyuan_Yinyun	ʧ.i.a.ŋ.Q	ʧ i a ŋ Q	1
三	sān	Beijing	s.a.n.⁵⁵	s a n ⁵⁵	1
三	sān	Jinan	s.aː ²¹³	s aː ²¹³	1
三	sān	Xi_an	s.aː ²¹	s aː ²¹	1
三	sān	Taiyuan	s.æː ¹¹	s æː ¹¹	1
三	sān	Hankou	s.a.n.⁵⁵	s a n ⁵⁵	1
三	sān	Chengdu	s.a.n.⁴⁴	s a n ⁴⁴	1
三	sān	Yangzhou	s.ɛː ²¹	s ɛː ²¹	1
三	sān	Suzhou	s.E.⁴⁴	s E ⁴⁴	1
三	sān	Wenzhou	s.a.⁴⁴	s a ⁴⁴	1
三	sān	Changsha	s.a.n.³³	s a n ³³	1
三	sān	Shuangfeng	s.aː ⁵⁵	s aː ⁵⁵	1
三	sān	Nanchang	s.a.n.⁴²	s a n ⁴²	1
三	sān	Meixian	s.a.m.⁴⁴	s a m ⁴⁴	1
三	sān	Guangzhou	ʃ.a:.m.⁵³/⁵⁵	ʃ a: m ⁵³/⁵⁵	1
三	sān	Xiamen	s.a.m.⁵⁵	s a m ⁵⁵	1
三	sān	Xiamen	s.aː ⁵⁵	s aː ⁵⁵	1
三	sān	Chaozhou	s.aː	s aː	1
三	sān	Fuzhou	s.a.ŋ.⁴⁴	s a ŋ ⁴⁴	1
三	sān	Shanghai	s.E.⁵³	s E ⁵³	1
三	sān	Zhongyuan_Yinyun	s.a.m.Q	s a m Q	1
上	shàng	Beijing	ʂ.a.ŋ.⁵¹	ʂ a ŋ ⁵¹	1
上	shàng	Jinan	ʂ.a.ŋ.²¹	ʂ a ŋ ²¹	1
上	shàng	Xi_an	ʂ.a.ŋ.⁵⁵	ʂ a ŋ ⁵⁵	1
上	shàng	Taiyuan	s.ɒː ⁴⁵	s ɒː ⁴⁵	1
上	shàng	Hankou	s.a.ŋ.³⁵	s a ŋ ³⁵	1
上	shàng	Chengdu	s.a.ŋ.¹³	s a ŋ ¹³	1
上	shàng	Yangzhou	s.ɑ.ŋ.⁵⁵	s ɑ ŋ ⁵⁵	1
上	shàng	Suzhou	z.a.ŋ.³¹	z a ŋ ³¹	1
上	shàng	Suzhou	z.ɒ.ŋ.³¹	z ɒ ŋ ³¹	1
上	shàng	Wenzhou	ɦ.i.²²	ɦ i ²²	1
上	shàng	Changsha	ʂ.a.n.⁵⁵	ʂ a n ⁵⁵	1
上	shàng	Changsha	ʂ.a.n.²¹	ʂ a n ²¹	1
上	shàng	Shuangfeng	ɣ.i.a.ŋ.³³	ɣ i a ŋ ³³	1
上	shàng	Nanchang	s.ɔ.ŋ.²¹	s ɔ ŋ ²¹	1
上	shàng	Meixian	s.ɔ.ŋ.⁵²	s ɔ ŋ ⁵²	1
上	shàng	Guangzhou	ʃ.œ.ŋ.²³	ʃ œ ŋ ²³	1
上	shàng	Xiamen	s.i.ɔ.ŋ.³³	s i ɔ ŋ ³³	1
上	shàng	Xiamen	s.i.a.ŋ.³³	s i a ŋ ³³	1
上	shàng	Chaozhou	ʦ.i.eː ³⁵	ʦ i eː ³⁵	1
上	shàng	Fuzhou	s.u.ɔ.ŋ.²⁴²	s u ɔ ŋ ²⁴²	1
上	shàng	Shanghai	z.ɒː ¹³	z ɒː ¹³	1
上	shàng	Zhongyuan_Yinyun	ʃ.i.a.ŋ.Q	ʃ i a ŋ Q	1
上	shàng	Beijing	ʂ.a.ŋ.⁵¹	ʂ a ŋ ⁵¹	1
上	shàng	Jinan	ʂ.a.ŋ.²¹	ʂ a ŋ ²¹	1
上	shàng	Xi_an	ʂ.a.ŋ.⁵⁵	ʂ a ŋ ⁵⁵	1
上	shàng	Taiyuan	s.ɒː ⁴⁵	s ɒː ⁴⁵	1
上	shàng	Hankou	s.a.ŋ.³⁵	s a ŋ ³⁵	1
上	shàng	Chengdu	s.a.ŋ.¹³	s a ŋ ¹³	1
上	shàng	Yangzhou	s.ɑ.ŋ.⁵⁵	s ɑ ŋ ⁵⁵	1
上	shàng	Suzhou	z.a.ŋ.³¹	z a ŋ ³¹	1
上	shàng	Suzhou	z.ɒ.ŋ.³¹	z ɒ ŋ ³¹	1
上	shàng	Wenzhou	ɦ.i.²²	ɦ i ²²	1
上	shàng	Changsha	ʂ.a.n.⁵⁵	ʂ a n ⁵⁵	1
上	shàng	Changsha	ʂ.a.n.²¹	ʂ a n ²¹	1
上	shàng	Nanchang	s.ɔ.ŋ.²¹	s ɔ ŋ ²¹	1
上	shàng	Meixian	s.ɔ.ŋ.⁵²	s ɔ ŋ ⁵²	1
上	shàng	Guangzhou	ʃ.œ.ŋ.²²	ʃ œ ŋ ²²	1
上	shàng	Xiamen	s.i.ɔ.ŋ.³³	s i ɔ ŋ ³³	1
上	shàng	Xiamen	s.i.uː ³³	s i uː ³³	1
上	shàng	Chaozhou	ʦ.i.eː ¹¹	ʦ i eː ¹¹	1
上	shàng	Fuzhou	s.u.ɔ.ŋ.²⁴²	s u ɔ ŋ ²⁴²	1
上	shàng	Shanghai	z.ɒː ¹³	z ɒː ¹³	1
上	shàng	Zhongyuan_Yinyun	ʃ.i.a.ŋ.Q	ʃ i a ŋ Q	1
下	xià	Beijing	ɕ.i.a.⁵¹	ɕ i a ⁵¹	1
下	xià	Jinan	ɕ.i.a.²¹	ɕ i a ²¹	1
下	xià	Xi_an	ɕ.i.a.⁵⁵	ɕ i a ⁵⁵	1
下	xià	Taiyuan	ɕ.i.a.⁴⁵	ɕ i a ⁴⁵	1
下	xià	Hankou	ɕ.i.a.³⁵	ɕ i a ³⁵	1
下	xià	Hankou	x.a.³⁵	x a ³⁵	1
下	xià	Chengdu	ɕ.i.a.¹³	ɕ i a ¹³	1
下	xià	Yangzhou	x.ɑ.⁵⁵	x ɑ ⁵⁵	1
下	xià	Yangzhou	ɕ.i.ɑ.⁵⁵	ɕ i ɑ ⁵⁵	1
下	xià	Suzhou	.i.ɒ.³¹	i ɒ ³¹	1
下	xià	Suzhou	ɦ.o.³¹	ɦ o ³¹	1
下	xià	Wenzhou	ɦ.o.³⁴	ɦ o ³⁴	1
下	xià	Changsha	.i.a.²¹	i a ²¹	1
下	xià	Changsha	x.a.²¹	x a ²¹	1
下	xià	Shuangfeng	ɣ.i.o.³³	ɣ i o ³³	1
下	xià	Shuangfeng	ɣ.o.³³	ɣ o ³³	1
下	xià	Nanchang	h.a.²¹	h a ²¹	1
下	xià	Meixian	h.a.⁵²	h a ⁵²	1
下	xià	Guangzhou	h.a.²³	h a ²³	1
下	xià	Xiamen	h.a.³³	h a ³³	1
下	xià	Xiamen	h.e.³³	h e ³³	1
下	xià	Xiamen	.e.³³	e ³³	1
下	xià	Chaozhou	.e.³⁵	e ³⁵	1
下	xià	Fuzhou	.a.²⁴²	a ²⁴²	1
下	xià	Shanghai	ɦ.o.¹³	ɦ o ¹³	1
下	xià	Zhongyuan_Yinyun	x.a.Q	x a Q	1
下	xià	Beijing	ɕ.i.a.⁵¹	ɕ i a ⁵¹	1
下	xià	Jinan	ɕ.i.a.²¹	ɕ i a ²¹	1
下	xià	Xi_an	ɕ.i.a.⁵⁵	ɕ i a ⁵⁵	1
下	xià	Taiyuan	ɕ.i.a.⁴⁵	ɕ i a ⁴⁵	1
下	xià	Hankou	ɕ.i.a.³⁵	ɕ i a ³⁵	1
下	xià	Chengdu	ɕ.i.a.¹³	ɕ i a ¹³	1
下	xià	Yangzhou	ɕ.i.ɑ.⁵⁵	ɕ i ɑ ⁵⁵	1
下	xià	Yangzhou	x.ɑ.⁵⁵	x ɑ ⁵⁵	1
下	xià	Suzhou	ɕ.i.ɒ.⁴¹²	ɕ i ɒ ⁴¹²	1
下	xià	Suzhou	ɦ.o.³¹	ɦ o ³¹	1
下	xià	Wenzhou	ɦ.o.³⁴	ɦ o ³⁴	1
下	xià	Changsha	ɕ.i.a.²¹	ɕ i a ²¹	1
下	xià	Changsha	x.a.²¹	x a ²¹	1
下	xià	Shuangfeng	ɣ.i.o.³³	ɣ i o ³³	1
下	xià	Shuangfeng	ɣ.o.³³	ɣ o ³³	1
下	xià	Nanchang	h.a.²¹	h a ²¹	1
下	xià	Meixian	h.a.⁵²	h a ⁵²	1
下	xià	Guangzhou	h.a.²²	h a ²²	1
下	xià	Xiamen	h.a.³³	h a ³³	1
下	xià	Xiamen	h.e.³³	h e ³³	1
下	xià	Xiamen	.e.³³	e ³³	1
下	xià	Chaozhou	h.i.a.³⁵	h i a ³⁵	1
下	xià	Fuzhou	x.a.²⁴²	x a ²⁴²	1
下	xià	Shanghai	ɦ.o.¹³	ɦ o ¹³	1
下	xià	Zhongyuan_Yinyun	x.a.S	x a S	1
不	bù	Beijing	p.u.⁵¹	p u ⁵¹	1
不	bù	Jinan	p.u.²¹³	p u ²¹³	1
不	bù	Xi_an	p.u.²¹	p u ²¹	1
不	bù	Taiyuan	p.ə.ʔ.²	p ə ʔ ²	1
不	bù	Hankou	p.u.²¹³	p u ²¹³	1
不	bù	Chengdu	p.u.³¹	p u ³¹	1
不	bù	Yangzhou	p.ə.ʔ.⁴	p ə ʔ ⁴	1
不	bù	Suzhou	p.ɤ.ʔ.⁴	p ɤ ʔ ⁴	1
不	bù	Wenzhou	p.a.i.³²³	p a i ³²³	1
不	bù	Changsha	p.u.²⁴	p u ²⁴	1
不	bù	Shuangfeng	p.u.²³	p u ²³	1
不	bù	Nanchang	p.ə.t.⁵	p ə t ⁵	1
不	bù	Meixian	p.u.t.¹	p u t ¹	1
不	bù	Guangzhou	p.a.t.⁵	p a t ⁵	1
不	bù	Xiamen	p.u.t.³²	p u t ³²	1
不	bù	Xiamen	.m.³³	m ³³	1
不	bù	Chaozhou	p.u.k.²¹	p u k ²¹	1
不	bù	Fuzhou	p.o.u.ʔ.²³	p o u ʔ ²³	1
不	bù	Shanghai	p.ɤ.ʔ.⁵	p ɤ ʔ ⁵	1
不	bù	Zhongyuan_Yinyun	p.u.R¹	p u R¹	1
且	qiě	Beijing	ʨʰ.i.e.²¹⁴	ʨʰ i e ²¹⁴	1
且	qiě	Jinan	ʨʰ.i.e.²¹³	ʨʰ i e ²¹³	1
且	qiě	Xi_an	ʨʰ.i.e.⁵³	ʨʰ i e ⁵³	1
且	qiě	Taiyuan	ʨʰ.i.ɛ.⁵³	ʨʰ i ɛ ⁵³	1
且	qiě	Hankou	ʨʰ.i.e.²¹³	ʨʰ i e ²¹³	1
且	qiě	Chengdu	ʨʰ.i.e.⁵³	ʨʰ i e ⁵³	1
且	qiě	Yangzhou	ʨʰ.ɪ.⁴²	ʨʰ ɪ ⁴²	1
且	qiě	Suzhou	ʦʰ.i.ɒ.⁵²	ʦʰ i ɒ ⁵²	1
且	qiě	Wenzhou	ʦʰ.e.i.⁴⁵	ʦʰ e i ⁴⁵	1
且	qiě	Changsha	ʦʰ.i.e.⁴¹	ʦʰ i e ⁴¹	1
且	qiě	Shuangfeng	ʨʰ.i.o.²¹	ʨʰ i o ²¹	1
且	qiě	Nanchang	ʨʰ.i.a.²¹³	ʨʰ i a ²¹³	1
且	qiě	Meixian	ʦʰ.i.a.³¹	ʦʰ i a ³¹	1
且	qiě	Guangzhou	ʧʰ.ɛ.³⁵	ʧʰ ɛ ³⁵	1
且	qiě	Xiamen	ʦʰ.i.a.⁵¹	ʦʰ i a ⁵¹	1
且	qiě	Chaozhou	ʦʰ.i.a.⁵³	ʦʰ i a ⁵³	1
且	qiě	Fuzhou	ʦʰ.i.a.³¹	ʦʰ i a ³¹	1
且	qiě	Shanghai	ʦʰ.i.⁵³	ʦʰ i ⁵³	1
且	qiě	Zhongyuan_Yinyun	ʦʰ.i.e.S	ʦʰ i e S	1
世	shì	Beijing	ʂ.ʅ.⁵¹	ʂ ʅ ⁵¹	1
世	shì	Jinan	ʂ.ʅ.²¹	ʂ ʅ ²¹	1
世	shì	Xi_an	ʂ.ʅ.⁵⁵	ʂ ʅ ⁵⁵	1
世	shì	Taiyuan	s.ɿ.⁴⁵	s ɿ ⁴⁵	1
世	shì	Hankou	s.ɿ.³⁵	s ɿ ³⁵	1
世	shì	Chengdu	s.ɿ.¹³	s ɿ ¹³	1
世	shì	Yangzhou	s.ɿ.⁵⁵	s ɿ ⁵⁵	1
世	shì	Suzhou	s.ɥ.⁴⁴	s ɥ ⁴⁴	1
世	shì	Wenzhou	s.e.i.⁴²	s e i ⁴²	1
世	shì	Changsha	ʂ.ʅ.⁵⁵	ʂ ʅ ⁵⁵	1
世	shì	Shuangfeng	ʂ.ʅ.³⁵	ʂ ʅ ³⁵	1
世	shì	Nanchang	s.ɿ.⁴⁵	s ɿ ⁴⁵	1
世	shì	Meixian	s.ɿ.⁵²	s ɿ ⁵²	1
世	shì	Guangzhou	ʃ.a.i.³³	ʃ a i ³³	1
世	shì	Xiamen	s.i.¹¹	s i ¹¹	1
世	shì	Xiamen	s.e.¹¹	s e ¹¹	1
世	shì	Chaozhou	s.i.²¹³	s i ²¹³	1
世	shì	Fuzhou	s.i.e.²¹³	s i e ²¹³	1
世	shì	Shanghai	s.ɿ.⁵³	s ɿ ⁵³	1
世	shì	Zhongyuan_Yinyun	ʃ.i.Q	ʃ i Q	1
丙	bǐng	Beijing	p.i.ŋ.²¹⁴	p i ŋ ²¹⁴	1
丙	bǐng	Jinan	p.i.ŋ.⁵⁵	p i ŋ ⁵⁵	1
丙	bǐng	Xi_an	p.i.ŋ.⁵³	p i ŋ ⁵³	1
丙	bǐng	Taiyuan	p.i.ŋ.⁵³	p i ŋ ⁵³	1
丙	bǐng	Hankou	p.i.n.⁴²	p i n ⁴²	1
丙	bǐng	Chengdu	p.i.n.⁵³	p i n ⁵³	1
丙	bǐng	Yangzhou	p.iː ⁴²	p iː ⁴²	1
丙	bǐng	Suzhou	p.i.n.⁵²	p i n ⁵²	1
丙	bǐng	Wenzhou	p.e.ŋ.⁴⁵	p e ŋ ⁴⁵	1
丙	bǐng	Changsha	p.i.n.⁴¹	p i n ⁴¹	1
丙	bǐng	Shuangfeng	p.i.n.²¹	p i n ²¹	1
丙	bǐng	Nanchang	p.i.n.²¹³	p i n ²¹³	1
丙	bǐng	Meixian	p.i.a.ŋ.³¹	p i a ŋ ³¹	1
丙	bǐng	Guangzhou	p.ɪ.ŋ.³⁵	p ɪ ŋ ³⁵	1
丙	bǐng	Xiamen	p.ɪ.ŋ.⁵¹	p ɪ ŋ ⁵¹	1
丙	bǐng	Chaozhou	p.i.aː ⁵³	p i aː ⁵³	1
丙	bǐng	Fuzhou	p.i.ŋ.³¹	p i ŋ ³¹	1
丙	bǐng	Shanghai	p.i.ŋ.³⁵/⁵⁵	p i ŋ ³⁵/⁵⁵	1
丙	bǐng	Zhongyuan_Yinyun	p.i.ə.ŋ.S	p i ə ŋ S	1
丞	chéng	Beijing	tʂʰ.ə.ŋ.³⁵	tʂʰ ə ŋ ³⁵	1
丞	chéng	Jinan	tʂʰ.ə.ŋ.⁴²	tʂʰ ə ŋ ⁴²	1
丞	chéng	Xi_an	tʂʰ.ə.ŋ.²⁴	tʂʰ ə ŋ ²⁴	1
丞	chéng	Taiyuan	ʦʰ.ə.ŋ.¹¹	ʦʰ ə ŋ ¹¹	1
丞	chéng	Hankou	ʦʰ.ə.n.²¹³	ʦʰ ə n ²¹³	1
丞	chéng	Chengdu	ʦʰ.ə.n.³¹	ʦʰ ə n ³¹	1
丞	chéng	Yangzhou	ʦʰ.ə.n.³⁴	ʦʰ ə n ³⁴	1
丞	chéng	Suzhou	z.ə.n.²⁴	z ə n ²⁴	1
丞	chéng	Wenzhou	z.e.ŋ.³¹	z e ŋ ³¹	1
丞	chéng	Changsha	tʂ.ə.n.¹³	tʂ ə n ¹³	1
丞	chéng	Shuangfeng	ʥ.i.n.²³	ʥ i n ²³	1
丞	chéng	Shuangfeng	d.i.n.²³	d i n ²³	1
丞	chéng	Nanchang	ʦʰ.ə.n.²⁴	ʦʰ ə n ²⁴	1
丞	chéng	Meixian	s.ə.n.¹¹	s ə n ¹¹	1
丞	chéng	Guangzhou	ʃ.ɪ.ŋ.²¹	ʃ ɪ ŋ ²¹	1
丞	chéng	Xiamen	s.ɪ.ŋ.²⁴	s ɪ ŋ ²⁴	1
丞	chéng	Chaozhou	s.e.ŋ.⁵⁵	s e ŋ ⁵⁵	1
丞	chéng	Fuzhou	s.i.ŋ.⁵²	s i ŋ ⁵²	1
丟	diū	Beijing	t.i.o.u.⁵⁵	t i o u ⁵⁵	1
丟	diū	Jinan	t.i.o.u.²¹³	t i o u ²¹³	1
丟	diū	Xi_an	t.i.o.u.²¹	t i o u ²¹	1
丟	diū	Taiyuan	t.i.o.u.¹¹	t i o u ¹¹	1
丟	diū	Hankou	t.i.o.u.⁵⁵	t i o u ⁵⁵	1
丟	diū	Chengdu	t.i.ə.u.⁴⁴	t i ə u ⁴⁴	1
丟	diū	Yangzhou	t.i.ɤ.ɯ.²¹	t i ɤ ɯ ²¹	1
丟	diū	Suzhou	t.ø.y.⁴⁴	t ø y ⁴⁴	1
丟	diū	Wenzhou	t.i.u.⁴⁴	t i u ⁴⁴	1
丟	diū	Changsha	t.i.ɤ.u.³³	t i ɤ u ³³	1
丟	diū	Shuangfeng	t.i.ʊ.⁵⁵	t i ʊ ⁵⁵	1
丟	diū	Nanchang	t.i.u.⁴²	t i u ⁴²	1
丟	diū	Meixian	t.i.u.⁴⁴	t i u ⁴⁴	1
丟	diū	Guangzhou	t.i.u.⁵³/⁵⁵	t i u ⁵³/⁵⁵	1
丟	diū	Xiamen	t.i.u.⁵⁵	t i u ⁵⁵	1
丟	diū	Chaozhou	t.i.u.³³	t i u ³³	1
丟	diū	Fuzhou	t.i.e.u.⁴⁴	t i e u ⁴⁴	1
丟	diū	Shanghai	t.i.ɯ.⁵³	t i ɯ ⁵³	1
並	bìng	Beijing	p.i.ŋ.⁵¹	p i ŋ ⁵¹	1
並	bìng	Jinan	p.i.ŋ.²¹	p i ŋ ²¹	1
並	bìng	Xi_an	p.i.ŋ.⁵⁵	p i ŋ ⁵⁵	1
並	bìng	Taiyuan	p.i.ŋ.⁴⁵	p i ŋ ⁴⁵	1
並	bìng	Hankou	p.i.n.³⁵	p i n ³⁵	1
並	bìng	Chengdu	p.i.n.¹³	p i n ¹³	1
並	bìng	Yangzhou	p.iː ⁵⁵	p iː ⁵⁵	1
並	bìng	Suzhou	b.i.n.³¹	b i n ³¹	1
並	bìng	Wenzhou	b.e.ŋ.³⁴	b e ŋ ³⁴	1
並	bìng	Changsha	p.i.n.²¹	p i n ²¹	1
並	bìng	Shuangfeng	b.i.n.³³	b i n ³³	1
並	bìng	Nanchang	p.i.n.²¹	p i n ²¹	1
並	bìng	Meixian	p.i.n.⁵²	p i n ⁵²	1
並	bìng	Guangzhou	p.ɪ.ŋ.²²	p ɪ ŋ ²²	1
並	bìng	Xiamen	p.ɪ.ŋ.³³	p ɪ ŋ ³³	1
並	bìng	Xiamen	p.ɪ.ŋ.¹¹	p ɪ ŋ ¹¹	1
並	bìng	Chaozhou	p.e.ŋ.³⁵	p e ŋ ³⁵	1
並	bìng	Fuzhou	p.e.i.ŋ.²¹³	p e i ŋ ²¹³	1
並	bìng	Shanghai	p.i.ŋ.¹³	p i ŋ ¹³	1
並	bìng	Zhongyuan_Yinyun	p.i.ə.ŋ.Q	p i ə ŋ Q	1
中	zhōng	Beijing	tʂ.u.ŋ.⁵⁵	tʂ u ŋ ⁵⁵	1
中	zhōng	Jinan	tʂ.u.ŋ.²¹³	tʂ u ŋ ²¹³	1
中	zhōng	Xi_an	pf.o.ŋ.²¹	pf o ŋ ²¹	1
中	zhōng	Taiyuan	ʦ.u.ŋ.¹¹	ʦ u ŋ ¹¹	1
中	zhōng	Hankou	ʦ.o.ŋ.⁵⁵	ʦ o ŋ ⁵⁵	1
中	zhōng	Chengdu	ʦ.o.ŋ.⁴⁴	ʦ o ŋ ⁴⁴	1
中	zhōng	Yangzhou	ʦ.ɔ.u.ŋ.²¹	ʦ ɔ u ŋ ²¹	1
中	zhōng	Suzhou	ʦ.o.ŋ.⁴⁴	ʦ o ŋ ⁴⁴	1
中	zhōng	Wenzhou	ʨ.y.o.ŋ.⁴⁴	ʨ y o ŋ ⁴⁴	1
中	zhōng	Changsha	tʂ.o.ŋ.³³	tʂ o ŋ ³³	1
中	zhōng	Shuangfeng	ʨ.i.n.⁵⁵	ʨ i n ⁵⁵	1
中	zhōng	Nanchang	ʦ.u.ŋ.⁴²	ʦ u ŋ ⁴²	1
中	zhōng	Meixian	ʦ.u.ŋ.⁴⁴	ʦ u ŋ ⁴⁴	1
中	zhōng	Guangzhou	ʧ.u.ŋ.⁵³/⁵⁵	ʧ u ŋ ⁵³/⁵⁵	1
中	zhōng	Xiamen	t.i.ɔ.ŋ.⁵⁵	t i ɔ ŋ ⁵⁵	1
中	zhōng	Chaozhou	t.o.ŋ.³³	t o ŋ ³³	1
中	zhōng	Fuzhou	t.y.ŋ.⁴⁴	t y ŋ ⁴⁴	1
中	zhōng	Shanghai	ʦ.o.ŋ.⁵³	ʦ o ŋ ⁵³	1
