ID,Name,Concepticon_ID,Concepticon_Gloss,Chinese
1,air,27,AIR,氣
2,all,98,ALL,全
3,all,98,ALL,皆
4,and,1577,AND,和
5,bamboo,1927,BAMBOO,竹
6,be able,972,BE ABLE,可
7,big brother,1759,OLDER BROTHER,兄
8,bird,913,CROW,烏
9,bottle,1321,BOTTLE,瓶
10,breast,1402,BREAST,乳
11,bright,679,BRIGHT,明
12,call,1084,CALL,叫
13,call,180,CALL BY NAME,呼
14,claw,72,CLAW,爪
15,cloth,1616,CLOTH,布
16,cloud,1489,CLOUD,云
17,cold,1287,COLD,令
18,come,1446,COME,來
19,cow,3044,BOVINE,牛
20,cut,1432,CUT,切
21,daughter,1357,DAUGHTER,女
22,sky,1732,SKY,天
23,day,1225,DAY (NOT NIGHT),朝
24,die,1494,DIE,亡
25,dog,2009,DOG,狗
26,dog,2009,DOG,犬
27,down,1485,BELOW OR UNDER,下
28,dry,1398,DRY,干
29,"earth, ground",2159,GROUND,地
30,"earth, soil",1228,EARTH (SOIL),土
31,winter,1471,WINTER,冬
32,east,1877,EAST,東
33,eat,1336,EAT,吃
34,egg,744,EGG,卵
35,eight,1705,EIGHT,八
36,empty,1624,EMPTY,空
37,enter,749,ENTER,入
38,even,1633,FLAT,平
39,evening,1629,EVENING,晚
40,eye,1248,EYE,眼
41,eye,1248,EYE,目
42,eyebrow,1173,EYEBROW,眉
43,faeces,675,FAECES (EXCREMENT),屎
44,father,1217,FATHER,父
45,father,1217,FATHER,爸
46,feather or hair,2381,FEATHER OR FUR OR HAIR,毛
47,fell (a tree),463,FELL (A TREE),砍
48,female person,2105,FEMALE PERSON,娘
49,few,1242,FEW,少
50,field,140,PADDY FIELD,田
51,fire,221,FIRE,火
52,five,493,FIVE,五
53,force,202,STRENGTH,力
54,forest,420,FOREST,林
55,forget,1523,FORGET,望
56,four,1500,FOUR,四
57,friend,1325,FRIEND,友
58,friend,1325,FRIEND,朋
59,gather,1749,TAKE,取
60,give birth,1195,GIVE BIRTH,生
61,go away,695,GO,去
62,good,1035,GOOD,好
63,gourd or melon,3398,GOURD OR MELON,瓜
64,grandfather,1383,GRANDFATHER,爹
65,half,816,HALF,半
66,he or she or it,2642,HE OR SHE,他
67,his or her,2092,HIS OR HER,其
68,hundred,1634,HUNDRED,百
69,hurt,1783,PAIN,痛
70,husband,1200,HUSBAND,仗
71,in,1376,NOW,在
72,inside,1606,INSIDE,內
73,kill,1417,KILL,殺
74,king,1508,KING,王
75,knife,1352,KNIFE,刀
76,know,1410,KNOW (SOMETHING),知
77,laugh,1355,LAUGH,笑
78,left,244,LEFT,左
79,letter,1612,LETTER,信
80,lose,1660,LOSE,失
81,male person,2106,MALE PERSON,男
82,marry (a woman),2164,MARRY (AS MAN),娶
83,"middle, center",1093,MIDDLE,中
84,moon,1313,MOON,月
85,mother,1216,MOTHER,母
86,mountain,639,MOUNTAIN,山
87,mouth,674,MOUTH,口
88,mud,640,MUD,泥
89,name,1405,NAME,名
90,north,1598,NORTH,北
91,not,1240,NOT,不
92,not,1240,NOT,否
93,now,1376,NOW,現
94,old,2112,OLD (AGED),古
95,one,1493,ONE,一
96,order,1128,ORDER,命
97,person,683,PERSON,人
98,play,1413,PLAY,玩
99,poison,655,POISON,毒
100,put on (clothes),976,WEAR,穿
101,return,581,COME BACK,回
102,roast,1962,ROAST (SOMETHING),烤
103,root,670,ROOT,本
104,say,1711,TELL,告
105,sea,1474,SEA,海
106,send,1127,SEND,吏
107,seven,1704,SEVEN,七
108,sharp,372,POINTED,尖
109,short,1645,SHORT,短
110,short (in size),721,LOW,矮
111,sit,1416,SIT,坐
112,six,1703,SIX,六
113,skin,763,SKIN,皮
114,small,1246,SMALL,小
115,soldier,1941,SOLDIER,兵
116,son,1620,SON,子
117,son,1620,SON,兒
118,south,864,PUMPKIN,南
119,stand,1442,STAND,站
120,stand,1442,STAND,立
121,stone,857,STONE,石
122,straight,1404,STRAIGHT,直
123,sun,1343,SUN,日
124,table,1775,TABLE,桌
125,ten,1515,TEN,十
126,thick,1244,THICK,厚
127,thousand,1843,THOUSAND,千
128,three,492,THREE,三
129,tile,3404,TILE,瓦
130,tooth,1380,TOOTH,牙
131,two,1498,TWO,二
132,two,1498,TWO,兩
133,up,57,ATOP,上
134,use,2072,USE (VERB),用
135,village,930,VILLAGE,村
136,wash,1453,WASH,洗
137,"watch, look",1819,LOOK,看
138,week,1469,WEEK,周
139,well,954,WELL,井
140,west,1817,WEST,西
141,white,1335,WHITE,白
142,wife,1199,WIFE,婆
143,wolf,522,WOLF,狼
144,wood,1803,WOOD,木
145,year,1226,YEAR,年
146,yesterday,1174,YESTERDAY,昨
147,you,1215,THOU,你
148,(rice) seedling,3050,SEEDLING,秧
149,(wind) blow,175,BLOW (OF WIND),刮
150,1st day of the lunar month,3354,FIRST DAY OF THE MONTH,初
151,a blind person,457,BLIND PERSON,瞎
152,alcoholic beverage,404,ALCOHOL (FERMENTED DRINK),酒
153,alive (living),1422,BE ALIVE,活
154,all,98,ALL,都
155,also,,,也
156,angular,2757,ANGULAR (SQUAREFORMED),方
157,anus,1935,ANUS,肛
158,arrive,1387,ARRIVE,到
159,arrow,977,ARROW,箭
160,ash,646,ASH,灰
161,aubergine,1146,AUBERGINE,茄
162,awake,825,AWAKE,醒
163,axe,677,AXE,斧
164,back (body),1291,BACK,背
165,bad,1292,BAD,坏
166,ball,1845,BALL,球
167,be (copula),1579,BE,是
168,be done/ accomplished,1990,BECOME,成
169,be pregnant,1123,PREGNANT,孕
170,be shy/bashful,487,SHY,害
171,be shy/bashful,487,SHY,羞
172,be sleepy,,,困
173,be thirsty,847,THIRSTY,渴
174,be tired,1757,TIRED,累
175,bean,2574,BEAN OR PEA,豆
176,bear,1820,BEAR,熊
177,beard/ moustache/ goatee,678,BEARD,胡
178,beautiful,1427,BEAUTIFUL,美
179,bed,1663,BED,床
180,bee,665,BEE,蜂
181,bellow,,,箱
182,belly,1251,BELLY,肚
183,big (large),1202,BIG,大
184,bite,1403,BITE,咬
185,bitter,887,BITTER,苦
186,black,163,BLACK,黑
187,blood,946,BLOOD,血
188,blow (trumpet),176,BLOW (WITH MOUTH),吹
189,board,1227,BOARD,板
190,boat,1844,BOAT,船
191,body,1480,BODY,身
192,bone,1394,BONE,骨
193,borrow (money),1823,BORROW,借
194,bow,994,BOW,弓
195,bowl,1530,BOWL,碗
196,branch/ twig,1531,BRANCH,枝
197,branch/ twig,1531,BRANCH,樹
198,break,680,BREAK (DESTROY OR GET DESTROYED),破
199,break,680,BREAK (DESTROY OR GET DESTROYED),裂
200,bright,679,BRIGHT,亮
201,brood,2075,BROOD (VERB),孵
202,broom,245,BROOM,帚
203,brush,1821,BRUSH,刷
204,bucket,,,桶
205,burn,2102,BURN,燃
206,bury,1719,BURY,埋
207,busy,2755,BUSY,忙
208,butterfly,1791,BUTTERFLY,蝶
209,buttocks,834,BUTTOCKS,屁
210,buttocks,834,BUTTOCKS,股
211,button,757,BUTTON,扣
212,can (jar),1051,CAN,罐
213,cane/ vine,2497,RATTAN,藤
214,card,2619,CARD,牌
215,carpenter,1042,CARPENTER,匠
216,carry,700,CARRY,抬
217,carry with pole on shoulder,3438,CARRY (WITH POLE ON SHOULDER),挑
218,catch,702,CATCH,捉
219,cave/ hole,1667,HOLE,洞
220,chaff/ bran,2363,CHAFF (HUSK),糠
221,chair,1476,CHAIR,椅
222,change (become different),2857,CHANGE (BECOME DIFFERENT),化
223,change (something),2856,CHANGE (SOMETHING),改
224,chest,1592,CHEST,胸
225,chest,1592,CHEST,脯
226,child,2099,CHILD,孩
227,chop (firewood),1437,SPLIT,劈
228,chopsticks,1987,CHOPSTICKS,筷
