ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy
Beijing-95-1,,Beijing,95,.i.⁵⁵,.i.⁵⁵,i ⁵⁵,,Zihui,,,,,1
Jinan-95-1,,Jinan,95,.i.²¹³,.i.²¹³,i ²¹³,,Zihui,,,,,2
XiAn-95-1,,XiAn,95,.i.²¹,.i.²¹,i ²¹,,Zihui,,,,,3
Taiyuan-95-1,,Taiyuan,95,.i.ə.ʔ.²,.i.ə.ʔ.²,i/j ə ʔ ²,,Zihui,,,,,4
Hankou-95-1,,Hankou,95,.i.²¹³,.i.²¹³,i ²¹³,,Zihui,,,,,5
Chengdu-95-1,,Chengdu,95,.i.³¹,.i.³¹,i ³¹,,Zihui,,,,,6
Yangzhou-95-1,,Yangzhou,95,.i.ə.ʔ.⁴,.i.ə.ʔ.⁴,i/j ə ʔ ⁴,,Zihui,,,,,7
Suzhou-95-1,,Suzhou,95,.i.ɤ.ʔ.⁴,.i.ɤ.ʔ.⁴,i/j ɤ ʔ ⁴,,Zihui,,,,,8
Wenzhou-95-1,,Wenzhou,95,.i.a.i.³²³,.i.a.i.³²³,i/j ai ³²³,,Zihui,,,,,9
Changsha-95-1,,Changsha,95,.i.²⁴,.i.²⁴,i ²⁴,,Zihui,,,,,10
Shuangfeng-95-1,,Shuangfeng,95,.i.²³,.i.²³,i ²³,,Zihui,,,,,11
Nanchang-95-1,,Nanchang,95,.i.t.⁵,.i.t.⁵,i t ⁵,,Zihui,,,,,12
Meixian-95-1,,Meixian,95,j.i.t.¹,j.i.t.¹,j i t ¹,,Zihui,,,,,13
Guangzhou-95-1,,Guangzhou,95,j.a.t.⁵,j.a.t.⁵,j a t ⁵,,Zihui,,,,,14
Xiamen-95-1,,Xiamen,95,.i.t.³²,.i.t.³²,i t ³²,,Zihui,,,,,15
Xiamen-95-2,,Xiamen,95,ʦ.i.t.³²,ʦ.i.t.³²,ts i t ³²,,Zihui,,,,,16
Chaozhou-95-1,,Chaozhou,95,.i.k.²¹,.i.k.²¹,i k ²¹,,Zihui,,,,,17
Fuzhou-95-1,,Fuzhou,95,.e.i.ʔ.²³,.e.i.ʔ.²³,ei ʔ ²³,,Zihui,,,,,18
Shanghai-95-1,,Shanghai,95,.i.ɪ.ʔ.⁵,.i.ɪ.ʔ.⁵,i/j ɪ ʔ ⁵,,Zihui,,,,,19
ZhongyuanYinyun-95-1,,ZhongyuanYinyun,95,.i.R³,.i.R³,i R³/²¹⁴,,Zihui,,,,,20
Beijing-107-1,,Beijing,107,ʨʰ.i.⁵⁵,ʨʰ.i.⁵⁵,tɕʰ i ⁵⁵,,Zihui,,,,,21
Jinan-107-1,,Jinan,107,ʨʰ.i.²¹³,ʨʰ.i.²¹³,tɕʰ i ²¹³,,Zihui,,,,,22
XiAn-107-1,,XiAn,107,ʨʰ.i.²¹,ʨʰ.i.²¹,tɕʰ i ²¹,,Zihui,,,,,23
Taiyuan-107-1,,Taiyuan,107,ʨʰ.i.ə.ʔ.²,ʨʰ.i.ə.ʔ.²,tɕʰ i/j ə ʔ ²,,Zihui,,,,,24
Hankou-107-1,,Hankou,107,ʨʰ.i.²¹³,ʨʰ.i.²¹³,tɕʰ i ²¹³,,Zihui,,,,,25
Chengdu-107-1,,Chengdu,107,ʨʰ.i.³¹,ʨʰ.i.³¹,tɕʰ i ³¹,,Zihui,,,,,26
Yangzhou-107-1,,Yangzhou,107,ʨʰ.i.ə.ʔ.⁴,ʨʰ.i.ə.ʔ.⁴,tɕʰ i/j ə ʔ ⁴,,Zihui,,,,,27
Suzhou-107-1,,Suzhou,107,ʦʰ.i.ɤ.ʔ.⁴,ʦʰ.i.ɤ.ʔ.⁴,tsʰ i/j ɤ ʔ ⁴,,Zihui,,,,,28
Wenzhou-107-1,,Wenzhou,107,ʦʰ.a.i.³²³,ʦʰ.a.i.³²³,tsʰ ai ³²³,,Zihui,,,,,29
Changsha-107-1,,Changsha,107,ʦʰ.i.²⁴,ʦʰ.i.²⁴,tsʰ i ²⁴,,Zihui,,,,,30
Shuangfeng-107-1,,Shuangfeng,107,ʨʰ.i.²³,ʨʰ.i.²³,tɕʰ i ²³,,Zihui,,,,,31
Nanchang-107-1,,Nanchang,107,ʨʰ.i.t.⁵,ʨʰ.i.t.⁵,tɕʰ i t ⁵,,Zihui,,,,,32
Meixian-107-1,,Meixian,107,ʦʰ.i.t.¹,ʦʰ.i.t.¹,tsʰ i t ¹,,Zihui,,,,,33
Guangzhou-107-1,,Guangzhou,107,ʧʰ.a.t.⁵,ʧʰ.a.t.⁵,tʃʰ a t ⁵,,Zihui,,,,,34
Xiamen-107-1,,Xiamen,107,ʦʰ.i.t.³²,ʦʰ.i.t.³²,tsʰ i t ³²,,Zihui,,,,,35
Chaozhou-107-1,,Chaozhou,107,ʦʰ.i.k.²¹,ʦʰ.i.k.²¹,tsʰ i k ²¹,,Zihui,,,,,36
Fuzhou-107-1,,Fuzhou,107,ʦʰ.e.i.ʔ.²³,ʦʰ.e.i.ʔ.²³,tsʰ ei ʔ ²³,,Zihui,,,,,37
Shanghai-107-1,,Shanghai,107,ʦʰ.ɪ.ʔ.⁵,ʦʰ.ɪ.ʔ.⁵,tsʰ ɪ ʔ ⁵,,Zihui,,,,,38
ZhongyuanYinyun-107-1,,ZhongyuanYinyun,107,ʦʰ.i.R¹,ʦʰ.i.R¹,tsʰ i R¹/²¹⁴,,Zihui,,,,,39
Beijing-339-1,,Beijing,339,tʂ.a.ŋ.⁵¹,tʂ.a.ŋ.⁵¹,ʈʂ a ŋ ⁵¹,,Zihui,,,,,40
Jinan-339-1,,Jinan,339,tʂ.a.ŋ.²¹,tʂ.a.ŋ.²¹,ʈʂ a ŋ ²¹,,Zihui,,,,,41
XiAn-339-1,,XiAn,339,tʂ.a.ŋ.⁵⁵,tʂ.a.ŋ.⁵⁵,ʈʂ a ŋ ⁵⁵,,Zihui,,,,,42
Taiyuan-339-1,,Taiyuan,339,ʦ.ɒː ⁴⁵,ʦ.ɒː ⁴⁵,ts ɒː ⁴⁵,,Zihui,,,,,43
Hankou-339-1,,Hankou,339,ʦ.a.ŋ.³⁵,ʦ.a.ŋ.³⁵,ts a ŋ ³⁵,,Zihui,,,,,44
Chengdu-339-1,,Chengdu,339,ʦ.a.ŋ.¹³,ʦ.a.ŋ.¹³,ts a ŋ ¹³,,Zihui,,,,,45
Yangzhou-339-1,,Yangzhou,339,ʦ.ɑ.ŋ.⁵⁵,ʦ.ɑ.ŋ.⁵⁵,ts ɑ ŋ ⁵⁵,,Zihui,,,,,46
Suzhou-339-1,,Suzhou,339,z.a.ŋ.³¹,z.a.ŋ.³¹,z a ŋ ³¹,,Zihui,,,,,47
Wenzhou-339-1,,Wenzhou,339,ʥ.i.³⁴,ʥ.i.³⁴,dʑ i ³⁴,,Zihui,,,,,48
